"gene_id","gene_name"
"ENSG00000109107","ALDOC"
"ENSG00000109321","AREG"
"ENSG00000109971","HSPA8"
"ENSG00000118523","CCN2"
"ENSG00000120129","DUSP1"
"ENSG00000120738","EGR1"
"ENSG00000121361","KCNJ8"
"ENSG00000125968","ID1"
"ENSG00000128016","ZFP36"
"ENSG00000132002","DNAJB1"
"ENSG00000155465","SLC7A7"
"ENSG00000165092","ALDH1A1"
"ENSG00000170345","FOS"
"ENSG00000173110","HSPA6"
"ENSG00000196136","SERPINA3"
"ENSG00000204388","HSPA1B"
"ENSG00000204389","HSPA1A"
"ENSG00000243955","GSTA1"
"ENSG00000244067","GSTA2"
"ENSG00000282885","AL627171.2"
