,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240
ENSG00000000003,55.30967227,54.53263335,60.18913143,56.15061334,62.86755495,57.33803273,51.47025942,55.94913878,57.40077478,59.32993328,57.70132849,60.96545666
ENSG00000000419,78.59795533,55.54249693,69.06949508,80.77807533,74.47387279,71.67254091,71.26651305,65.94005642,79.17348246,81.57865827,77.63451469,80.59840033
ENSG00000000457,5.822070765,5.049317903,4.933535363,4.925492398,6.770352072,5.733803273,4.949063406,4.99545882,4.948342654,4.237852377,5.245575317,5.166564123
ENSG00000000460,3.88138051,4.039454322,2.960121218,3.940393919,4.835965765,3.822535515,3.959250725,3.996367056,4.948342654,4.237852377,5.245575317,3.099938474
ENSG00000000971,0.970345128,0,0,0.98509848,0.967193153,0,0,0.999091764,0,1.059463094,0,0
ENSG00000001036,328.9469982,320.126755,334.4936976,316.216612,294.9939117,312.4922784,310.8011819,335.6948327,325.6009466,306.1848343,307.3907136,305.8605961
ENSG00000001084,26.19931844,21.20713519,25.65438389,24.62746199,26.11421513,25.80211473,25.73512971,22.97911057,22.76237621,27.54604045,25.17876152,24.79950779
ENSG00000001167,35.90276972,29.28604384,33.54804047,42.35923463,32.8845672,34.40281964,35.63325652,36.96639526,34.63839858,37.0812083,40.91548747,39.26588734
ENSG00000001460,3.88138051,4.039454322,3.94682829,3.940393919,3.868772612,3.822535515,4.949063406,2.997275292,3.958674123,3.178389283,4.196460254,4.133251299
ENSG00000001461,32.02138921,29.28604384,31.57462632,27.58275743,24.17982883,25.80211473,25.73512971,25.97638586,26.72105033,24.36765117,24.12964646,25.83282062
ENSG00000001497,12.61448666,12.11836297,13.81389902,14.77647719,14.5078973,15.29014206,11.87775217,12.98819293,16.82436502,15.89194642,14.68761089,14.46637955
ENSG00000001561,21.34759281,14.13809013,17.76072731,16.74667415,18.37666991,19.11267758,17.81662826,16.98455999,16.82436502,14.83248332,15.73672595,17.56631802
ENSG00000001617,3.88138051,3.029590742,2.960121218,2.955295439,2.901579459,2.866901637,3.959250725,2.997275292,2.969005592,3.178389283,3.14734519,3.099938474
ENSG00000001626,60.16139791,53.52276977,58.21571728,52.21021942,57.06439603,51.60422946,55.42951015,55.94913878,51.4627636,52.97315472,55.60309836,51.66564123
ENSG00000001629,32.02138921,25.24658951,33.54804047,30.53805287,30.9501809,32.49155188,26.72494239,27.97456939,30.67972445,29.66496664,29.37522178,33.06601039
ENSG00000001630,420.1594402,349.4127989,397.6429502,375.3225207,401.3851585,387.9873548,396.9148852,362.6703103,372.1153676,465.1042984,460.5615128,483.590402
ENSG00000001631,13.58483179,11.10849939,12.82719194,11.82118176,13.54070414,15.29014206,12.86756486,12.98819293,12.8656909,15.89194642,14.68761089,16.53300519
ENSG00000002016,9.703451276,7.069045064,6.906949508,9.850984797,12.57351099,8.60070491,9.898126812,8.991825875,7.917348246,8.475704755,10.49115063,8.266502597
ENSG00000002330,46.57656612,67.6608599,55.25559606,61.07610574,55.13000973,53.51549722,55.42951015,49.9545882,61.35944891,55.09208091,55.60309836,48.56570276
ENSG00000002549,49.48760151,46.45372471,47.36193948,38.41884071,43.52369189,43.00352455,42.56194529,46.9573129,44.53508388,49.79476543,48.25929292,49.59901558
ENSG00000002586,408.5152987,439.2906575,417.3770917,411.7711645,401.3851585,398.4993275,415.7213261,427.611275,419.619457,388.8229556,396.565494,388.5256221
ENSG00000002726,1.940690255,3.029590742,1.973414145,2.955295439,1.934386306,2.866901637,2.969438044,2.997275292,3.958674123,2.118926189,3.14734519,3.099938474
ENSG00000002745,0,0,0,0.98509848,0.967193153,0.955633879,0.989812681,0,0,0,1.049115063,0
ENSG00000002746,0.970345128,1.009863581,0.986707073,0.98509848,0.967193153,0.955633879,0.989812681,0,0.989668531,0,1.049115063,0
ENSG00000002822,9.703451276,11.10849939,11.84048487,10.83608328,9.671931531,8.60070491,10.88793949,8.991825875,10.88635384,9.535167849,10.49115063,9.299815422
ENSG00000002834,254.2304234,273.6730303,261.4773742,251.2001123,248.5686403,246.5535407,263.2901732,262.7611339,259.2931551,259.5684581,264.376996,255.2282677
ENSG00000002919,11.64414153,15.14795371,13.81389902,14.77647719,16.4422836,11.46760655,11.87775217,15.98546822,12.8656909,13.77302023,12.58938076,10.33312825
ENSG00000002933,10.6737964,11.10849939,10.8537778,10.83608328,12.57351099,12.42324042,11.87775217,12.98819293,14.84502796,14.83248332,15.73672595,15.49969237
ENSG00000003056,73.7462297,68.67072348,68.08278801,64.03140118,71.57229333,70.71690703,70.27670037,69.93642347,63.33878597,58.27047019,67.14336406,58.89883101
ENSG00000003096,9.703451276,8.078908644,8.880363653,7.880787837,7.737545225,7.645071031,7.91850145,7.992734111,7.917348246,8.475704755,9.442035571,10.33312825
ENSG00000003137,8.733106148,7.069045064,4.933535363,6.895689358,6.770352072,6.689437152,6.928688768,4.99545882,7.917348246,5.297315472,5.245575317,6.199876948
ENSG00000003147,20.37724768,18.17754445,16.77402023,18.71687111,19.34386306,18.1570437,18.80644094,18.98274351,20.78303915,21.18926189,18.88407114,18.59963084
ENSG00000003249,16.49586717,20.19727161,15.78731316,16.74667415,16.4422836,16.24577594,16.82681558,15.98546822,14.84502796,18.0108726,15.73672595,13.43306672
ENSG00000003393,26.19931844,25.24658951,25.65438389,24.62746199,27.08140829,24.84648085,23.75550435,26.97547763,25.7313818,24.36765117,26.22787659,27.89944627
ENSG00000003400,7.762761021,7.069045064,7.89365658,7.880787837,6.770352072,6.689437152,6.928688768,7.992734111,5.938011185,6.356778566,6.294690381,7.233189773
ENSG00000003402,31.05104408,27.26631667,29.60121218,27.58275743,29.98298775,30.58028412,27.71475507,29.97275292,28.70038739,27.54604045,28.32610671,27.89944627
ENSG00000003436,63.07243329,54.53263335,63.14925264,63.0463027,67.70352072,64.02746988,64.33782428,61.94368936,60.36978038,82.63812136,82.88009001,86.79827727
ENSG00000003509,15.52552204,12.11836297,13.81389902,16.74667415,16.4422836,15.29014206,13.85737754,14.98637646,15.83469649,14.83248332,13.63849582,12.3997539
