"gene_id","gene_name"
"ENSG00000067057","PFKP"
"ENSG00000067082","KLF6"
"ENSG00000099860","GADD45B"
"ENSG00000109846","CRYAB"
"ENSG00000115758","ODC1"
"ENSG00000128564","VGF"
"ENSG00000130707","ASS1"
"ENSG00000155090","KLF10"
"ENSG00000164111","ANXA5"
"ENSG00000166592","RRAD"
"ENSG00000169429","CXCL8"
"ENSG00000173110","HSPA6"
"ENSG00000182224","CYB5D1"
"ENSG00000184205","TSPYL2"
"ENSG00000184731","FAM110C"
"ENSG00000198355","PIM3"
"ENSG00000198695","MT-ND6"
"ENSG00000204387","SNHG32"
"ENSG00000204388","HSPA1B"
"ENSG00000204389","HSPA1A"
