"gene_id","gene_name"
"ENSG00000052802","MSMO1"
"ENSG00000099194","SCD"
"ENSG00000104722","NEFM"
"ENSG00000112306","RPS12"
"ENSG00000133112","TPT1"
"ENSG00000137440","FGFBP1"
"ENSG00000140519","RHCG"
"ENSG00000142534","RPS11"
"ENSG00000160752","FDPS"
"ENSG00000163207","IVL"
"ENSG00000163220","S100A9"
"ENSG00000163395","IGFN1"
"ENSG00000169908","TM4SF1"
"ENSG00000170465","KRT6C"
"ENSG00000178372","CALML5"
"ENSG00000185479","KRT6B"
"ENSG00000187193","MT1X"
"ENSG00000188293","IGFL1"
"ENSG00000188624","IGFL3"
"ENSG00000197958","RPL12"
