,baseMean,log2FoldChange,lfcSE,pvalue,padj
HCCS,110.9153676,0.782184175,0.20967153,0.000133708,0.000520378
SPATA20,10.34076424,0.0870958,0.567390241,0.85360511,0.893078178
KDM7A,45.51260326,0.870031305,0.316686606,0.003825815,0.010527899
PRSS21,9.116702856,1.247578175,0.753696162,0.03391799,0.068921203
PKD1,19.70287924,0.629233552,0.557468364,0.18178711,0.270977698
SCMH1,17.0213057,0.763886484,0.522210269,0.091102381,0.155787395
MRC2,20.60016034,0.036636628,0.436826822,0.927304793,0.950610506
SEMA3B,4.267162469,1.384891236,1.223376637,0.061118379,0.1123089
AIFM2,10.96471835,0.750896317,0.756171718,0.17919512,0.267941485
DSG2,141.9450041,0.948207315,0.193943955,6.63E-07,3.72E-06
TSPAN17,68.75002178,0.594819171,0.267928629,0.021192336,0.046480615
ATP9A,30.52945943,0.510207172,0.376729921,0.14473774,0.225962531
EIF2AK2,28.33765334,0.516059257,0.384820335,0.147129044,0.22915226
SLC2A3,23.39198354,-0.669214197,0.474221855,0.111200167,0.183370734
SPHK2,10.19277557,1.077029035,0.68557738,0.049685028,0.094837755
ZNF275,6.208279472,0.851490598,0.853018833,0.148762617,0.231181036
MTHFD2,34.75675207,-0.489149945,0.384428012,0.168010159,0.254528887
CACNB1,10.58988753,1.024192933,0.687225263,0.061025289,0.112178419
CBFB,40.41934458,0.871656549,0.332644588,0.005583243,0.014619414
RASSF1,66.28410502,0.317776402,0.270372493,0.222480244,0.318709333
MNT,17.51060688,0.341405155,0.462983969,0.408741001,0.51412176
ATP2B1,51.46635492,0.865506824,0.296271475,0.00222767,0.00654426
SPEG,5.876041755,1.244223962,0.969171242,0.060816746,0.111882414
PDE8A,16.2003255,0.376450079,0.486103804,0.379735274,0.484327206
CELSR1,31.85501253,0.609630526,0.3697664,0.076470881,0.135184759
VPS9D1,20.11504507,0.676084759,0.535080696,0.14096709,0.221364653
ZNF37A,13.003197,0.181011316,0.542488672,0.694965855,0.766651642
ITCH,63.73762868,0.733284644,0.275462016,0.005606085,0.014668614
TNS1,3.215278445,0.795889156,1.039918197,0.177899779,0.266279595
MID2,34.30201844,0.40315051,0.387240147,0.260346791,0.359509969
TRAF5,2.174841317,0.876120226,1.346776075,0.117417669,0.191378642
ULK2,9.589791805,0.096335535,0.592747344,0.842608793,0.884705629
ZNF416,33.7283454,0.783021399,0.37098905,0.02329738,0.050463136
BCORL1,14.02009402,0.86735077,0.561998327,0.069455421,0.125104428
DDHD2,14.86450328,-0.457444093,0.516513478,0.304840524,0.408560791
SNX10,7.699770606,0.287597544,0.735685656,0.57984914,0.670015711
KLHL42,18.92628145,0.316437346,0.456333615,0.438942463,0.542738752
DOCK9,45.22177448,0.811454231,0.317345025,0.00703096,0.017930598
RCOR1,118.5113351,0.914438913,0.203434912,4.40E-06,2.20E-05
PDCD7,40.71957701,0.109189904,0.329389484,0.727304667,0.793459045
RAB11FIP3,28.21581264,0.860045472,0.419130161,0.024552819,0.052693763
TNRC6A,30.69901671,0.510665534,0.373285254,0.141015833,0.221399964
UPRT,10.43570581,0.624871231,0.614564411,0.207488267,0.301894221
SMIM24,2.248058539,1.141230936,1.709626441,0.056480837,0.105337779
