"gene_id","gene_name"
"ENSG00000000003","TSPAN6"
"ENSG00000001036","FUCA2"
"ENSG00000001461","NIPAL3"
"ENSG00000001497","LAS1L"
"ENSG00000001617","SEMA3F"
"ENSG00000002330","BAD"
"ENSG00000002549","LAP3"
"ENSG00000003400","CASP10"
"ENSG00000004455","AK2"
"ENSG00000004779","NDUFAB1"
"ENSG00000004864","SLC25A13"
"ENSG00000005020","SKAP2"
"ENSG00000005022","SLC25A5"
"ENSG00000005059","MCUB"
"ENSG00000005189","REXO5"
"ENSG00000005243","COPZ2"
"ENSG00000005448","WDR54"
"ENSG00000005469","CROT"
"ENSG00000006007","GDE1"
"ENSG00000006015","REX1BD"
"ENSG00000006555","TTC22"
"ENSG00000006625","GGCT"
"ENSG00000006744","ELAC2"
"ENSG00000006757","PNPLA4"
"ENSG00000007080","CCDC124"
"ENSG00000007202","KIAA0100"
"ENSG00000007376","RPUSD1"
"ENSG00000007520","TSR3"
"ENSG00000007541","PIGQ"
"ENSG00000008282","SYPL1"
"ENSG00000008283","CYB561"
"ENSG00000008382","MPND"
"ENSG00000008394","MGST1"
"ENSG00000008441","NFIX"
"ENSG00000008988","RPS20"
"ENSG00000010219","DYRK4"
"ENSG00000010256","UQCRC1"
"ENSG00000010278","CD9"
"ENSG00000010438","PRSS3"
"ENSG00000010704","HFE"
"ENSG00000011143","MKS1"
"ENSG00000011478","QPCTL"
"ENSG00000011523","CEP68"
"ENSG00000011638","TMEM159"
"ENSG00000012048","BRCA1"
"ENSG00000012174","MBTPS2"
"ENSG00000012211","PRICKLE3"
"ENSG00000013016","EHD3"
"ENSG00000013364","MVP"
"ENSG00000013503","POLR3B"
"ENSG00000013523","ANGEL1"
"ENSG00000013563","DNASE1L1"
"ENSG00000013583","HEBP1"
"ENSG00000014138","POLA2"
"ENSG00000014216","CAPN1"
"ENSG00000014641","MDH1"
"ENSG00000014824","SLC30A9"
"ENSG00000014919","COX15"
"ENSG00000015133","CCDC88C"
"ENSG00000016402","IL20RA"
"ENSG00000016864","GLT8D1"
"ENSG00000017483","SLC38A5"
"ENSG00000017797","RALBP1"
"ENSG00000018236","CNTN1"
"ENSG00000018510","AGPS"
"ENSG00000020256","ZFP64"
"ENSG00000021826","CPS1"
"ENSG00000022556","NLRP2"
"ENSG00000023191","RNH1"
"ENSG00000023697","DERA"
"ENSG00000023892","DEF6"
"ENSG00000024422","EHD2"
"ENSG00000026297","RNASET2"
"ENSG00000026508","CD44"
"ENSG00000027001","MIPEP"
"ENSG00000027697","IFNGR1"
"ENSG00000029639","TFB1M"
"ENSG00000030110","BAK1"
"ENSG00000030582","GRN"
"ENSG00000031691","CENPQ"
"ENSG00000032389","EIPR1"
"ENSG00000033011","ALG1"
"ENSG00000033050","ABCF2"
"ENSG00000034510","TMSB10"
"ENSG00000034693","PEX3"
"ENSG00000035141","FAM136A"
"ENSG00000035687","ADSS"
"ENSG00000037757","MRI1"
"ENSG00000039068","CDH1"
"ENSG00000039560","RAI14"
"ENSG00000040341","STAU2"
"ENSG00000041353","RAB27B"
"ENSG00000042445","RETSAT"
"ENSG00000042493","CAPG"
"ENSG00000042753","AP2S1"
"ENSG00000043514","TRIT1"
"ENSG00000044090","CUL7"
"ENSG00000047230","CTPS2"
"ENSG00000047849","MAP4"
"ENSG00000047932","GOPC"
"ENSG00000048544","MRPS10"
"ENSG00000048991","R3HDM1"
"ENSG00000049245","VAMP3"
"ENSG00000049283","EPN3"
"ENSG00000049541","RFC2"
"ENSG00000049883","PTCD2"
"ENSG00000050130","JKAMP"
"ENSG00000050165","DKK3"
"ENSG00000050344","NFE2L3"
"ENSG00000050393","MCUR1"
"ENSG00000050405","LIMA1"
"ENSG00000051180","RAD51"
"ENSG00000051382","PIK3CB"
"ENSG00000051596","THOC3"
"ENSG00000052723","SIKE1"
"ENSG00000052802","MSMO1"
"ENSG00000053254","FOXN3"
"ENSG00000053371","AKR7A2"
"ENSG00000053372","MRTO4"
"ENSG00000053747","LAMA3"
"ENSG00000054148","PHPT1"
"ENSG00000054277","OPN3"
"ENSG00000054282","SDCCAG8"
"ENSG00000054611","TBC1D22A"
"ENSG00000055950","MRPL43"
"ENSG00000056050","HPF1"
"ENSG00000056972","TRAF3IP2"
"ENSG00000057149","SERPINB3"
"ENSG00000057608","GDI2"
"ENSG00000057704","TMCC3"
"ENSG00000058668","ATP2B4"
"ENSG00000058799","YIPF1"
"ENSG00000058804","NDC1"
"ENSG00000059573","ALDH18A1"
"ENSG00000059588","TARBP1"
"ENSG00000060558","GNA15"
"ENSG00000061794","MRPS35"
"ENSG00000062038","CDH3"
"ENSG00000062282","DGAT2"
"ENSG00000062582","MRPS24"
"ENSG00000063241","ISOC2"
"ENSG00000063854","HAGH"
"ENSG00000064102","INTS13"
"ENSG00000064115","TM7SF3"
"ENSG00000064195","DLX3"
"ENSG00000064199","SPA17"
"ENSG00000064490","RFXANK"
"ENSG00000064545","TMEM161A"
"ENSG00000064652","SNX24"
"ENSG00000064666","CNN2"
"ENSG00000064933","PMS1"
"ENSG00000065183","WDR3"
"ENSG00000065357","DGKA"
"ENSG00000065361","ERBB3"
"ENSG00000065427","KARS"
"ENSG00000065518","NDUFB4"
"ENSG00000065600","PACC1"
"ENSG00000065621","GSTO2"
"ENSG00000065833","ME1"
"ENSG00000066583","ISOC1"
"ENSG00000066629","EML1"
"ENSG00000066855","MTFR1"
"ENSG00000066926","FECH"
"ENSG00000067182","TNFRSF1A"
"ENSG00000067225","PKM"
"ENSG00000067560","RHOA"
"ENSG00000067704","IARS2"
"ENSG00000067992","PDK3"
"ENSG00000068001","HYAL2"
"ENSG00000068489","PRR11"
"ENSG00000068697","LAPTM4A"
"ENSG00000068784","SRBD1"
"ENSG00000068885","IFT80"
"ENSG00000068912","ERLEC1"
"ENSG00000069248","NUP133"
"ENSG00000069275","NUCKS1"
"ENSG00000069329","VPS35"
"ENSG00000069812","HES2"
"ENSG00000069849","ATP1B3"
"ENSG00000069943","PIGB"
"ENSG00000069966","GNB5"
"ENSG00000070019","GUCY2C"
"ENSG00000070081","NUCB2"
"ENSG00000070087","PFN2"
"ENSG00000070214","SLC44A1"
"ENSG00000070413","DGCR2"
"ENSG00000070501","POLB"
"ENSG00000070540","WIPI1"
"ENSG00000070614","NDST1"
"ENSG00000070718","AP3M2"
"ENSG00000070731","ST6GALNAC2"
"ENSG00000070785","EIF2B3"
"ENSG00000071051","NCK2"
"ENSG00000071082","RPL31"
"ENSG00000071794","HLTF"
