"gene_id","gene_name"
"ENSG00000084207","GSTP1"
"ENSG00000086061","DNAJA1"
"ENSG00000087074","PPP1R15A"
"ENSG00000096384","HSP90AB1"
"ENSG00000109971","HSPA8"
"ENSG00000115758","ODC1"
"ENSG00000120694","HSPH1"
"ENSG00000120738","EGR1"
"ENSG00000128422","KRT17"
"ENSG00000130066","SAT1"
"ENSG00000132002","DNAJB1"
"ENSG00000140403","DNAJA4"
"ENSG00000143384","MCL1"
"ENSG00000150991","UBC"
"ENSG00000161011","SQSTM1"
"ENSG00000163191","S100A11"
"ENSG00000167768","KRT1"
"ENSG00000170315","UBB"
"ENSG00000170345","FOS"
"ENSG00000175793","SFN"
