"gene_id","gene_name"
"ENSG00000003756","RBM5"
"ENSG00000004478","FKBP4"
"ENSG00000004700","RECQL"
"ENSG00000004777","ARHGAP33"
"ENSG00000004838","ZMYND10"
"ENSG00000005001","PRSS22"
"ENSG00000005007","UPF1"
"ENSG00000005238","FAM214B"
"ENSG00000005339","CREBBP"
"ENSG00000005483","KMT2E"
"ENSG00000005513","SOX8"
"ENSG00000005812","FBXL3"
"ENSG00000005889","ZFX"
"ENSG00000006062","MAP3K14"
"ENSG00000006118","TMEM132A"
"ENSG00000006125","AP2B1"
"ENSG00000006128","TAC1"
"ENSG00000006194","ZNF263"
"ENSG00000006327","TNFRSF12A"
"ENSG00000006432","MAP3K9"
"ENSG00000006453","BAIAP2L1"
"ENSG00000006634","DBF4"
"ENSG00000006652","IFRD1"
"ENSG00000007038","PRSS21"
"ENSG00000007384","RHBDF1"
"ENSG00000007392","LUC7L"
"ENSG00000007545","CRAMP1"
"ENSG00000007944","MYLIP"
"ENSG00000008056","SYN1"
"ENSG00000008128","CDK11A"
"ENSG00000008294","SPAG9"
"ENSG00000008300","CELSR3"
"ENSG00000008311","AASS"
"ENSG00000008324","SS18L2"
"ENSG00000008405","CRY1"
"ENSG00000008516","MMP25"
"ENSG00000008517","IL32"
"ENSG00000008735","MAPK8IP2"
"ENSG00000009954","BAZ1B"
"ENSG00000010244","ZNF207"
"ENSG00000010270","STARD3NL"
"ENSG00000010295","IFFO1"
"ENSG00000010322","NISCH"
"ENSG00000010379","SLC6A13"
"ENSG00000010810","FYN"
"ENSG00000010818","HIVEP2"
"ENSG00000011021","CLCN6"
"ENSG00000011132","APBA3"
"ENSG00000011243","AKAP8L"
"ENSG00000011275","RNF216"
"ENSG00000011304","PTBP1"
"ENSG00000011566","MAP4K3"
"ENSG00000012061","ERCC1"
"ENSG00000012660","ELOVL5"
"ENSG00000012817","KDM5D"
"ENSG00000013275","PSMC4"
"ENSG00000013375","PGM3"
"ENSG00000013441","CLK1"
"ENSG00000013588","GPRC5A"
"ENSG00000013810","TACC3"
"ENSG00000014914","MTMR11"
"ENSG00000015479","MATR3"
"ENSG00000015520","NPC1L1"
"ENSG00000019144","PHLDB1"
"ENSG00000020577","SAMD4A"
"ENSG00000022840","RNF10"
"ENSG00000023287","RB1CC1"
"ENSG00000023330","ALAS1"
"ENSG00000023445","BIRC3"
"ENSG00000023608","SNAPC1"
"ENSG00000023902","PLEKHO1"
"ENSG00000023909","GCLM"
"ENSG00000024048","UBR2"
"ENSG00000025039","RRAGD"
"ENSG00000025156","HSF2"
"ENSG00000025770","NCAPH2"
"ENSG00000025772","TOMM34"
"ENSG00000026025","VIM"
"ENSG00000026652","AGPAT4"
"ENSG00000026950","BTN3A1"
"ENSG00000028277","POU2F2"
"ENSG00000028839","TBPL1"
"ENSG00000029364","SLC39A9"
"ENSG00000031003","FAM13B"
"ENSG00000032219","ARID4A"
"ENSG00000033030","ZCCHC8"
"ENSG00000033100","CHPF2"
"ENSG00000033178","UBA6"
"ENSG00000033327","GAB2"
"ENSG00000033627","ATP6V0A1"
"ENSG00000036257","CUL3"
"ENSG00000038358","EDC4"
"ENSG00000038382","TRIO"
"ENSG00000039523","RIPOR1"
"ENSG00000039987","BEST2"
"ENSG00000040199","PHLPP2"
"ENSG00000041802","LSG1"
"ENSG00000041988","THAP3"
"ENSG00000042429","MED17"
"ENSG00000046651","OFD1"
"ENSG00000047056","WDR37"
"ENSG00000047315","POLR2B"
"ENSG00000047346","FAM214A"
"ENSG00000047578","KIAA0556"
"ENSG00000048052","HDAC9"
"ENSG00000048162","NOP16"
"ENSG00000048649","RSF1"
"ENSG00000049246","PER3"
"ENSG00000049759","NEDD4L"
"ENSG00000050327","ARHGEF5"
"ENSG00000050820","BCAR1"
"ENSG00000051108","HERPUD1"
"ENSG00000051128","HOMER3"
"ENSG00000052749","RRP12"
"ENSG00000052841","TTC17"
"ENSG00000053438","NNAT"
"ENSG00000054267","ARID4B"
"ENSG00000054967","RELT"
"ENSG00000055208","TAB2"
"ENSG00000055483","USP36"
"ENSG00000055609","KMT2C"
"ENSG00000055732","MCOLN3"
"ENSG00000055917","PUM2"
"ENSG00000056097","ZFR"
"ENSG00000056558","TRAF1"
"ENSG00000056586","RC3H2"
"ENSG00000057019","DCBLD2"
"ENSG00000058673","ZC3H11A"
"ENSG00000059145","UNKL"
"ENSG00000059378","PARP12"
"ENSG00000059728","MXD1"
"ENSG00000059758","CDK17"
"ENSG00000060140","STYK1"
"ENSG00000060339","CCAR1"
"ENSG00000060491","OGFR"
"ENSG00000060982","BCAT1"
"ENSG00000061936","SFSWAP"
"ENSG00000062194","GPBP1"
"ENSG00000062370","ZNF112"
"ENSG00000062524","LTK"
"ENSG00000062650","WAPL"
"ENSG00000063169","BICRA"
"ENSG00000063176","SPHK2"
"ENSG00000063244","U2AF2"
"ENSG00000063322","MED29"
"ENSG00000064300","NGFR"
"ENSG00000064313","TAF2"
"ENSG00000064419","TNPO3"
"ENSG00000064547","LPAR2"
"ENSG00000064607","SUGP2"
"ENSG00000064932","SBNO2"
"ENSG00000065000","AP3D1"
"ENSG00000065029","ZNF76"
"ENSG00000065060","UHRF1BP1"
"ENSG00000065491","TBC1D22B"
"ENSG00000065526","SPEN"
"ENSG00000065548","ZC3H15"
"ENSG00000065802","ASB1"
"ENSG00000065809","FAM107B"
"ENSG00000065923","SLC9A7"
"ENSG00000066084","DIP2B"
"ENSG00000066117","SMARCD1"
"ENSG00000066248","NGEF"
"ENSG00000066422","ZBTB11"
"ENSG00000066697","MSANTD3"
"ENSG00000066735","KIF26A"
"ENSG00000067048","DDX3Y"
"ENSG00000067057","PFKP"
"ENSG00000067082","KLF6"
"ENSG00000067365","METTL22"
"ENSG00000067369","TP53BP1"
"ENSG00000067596","DHX8"
"ENSG00000067798","NAV3"
"ENSG00000068305","MEF2A"
"ENSG00000068308","OTUD5"
"ENSG00000068323","TFE3"
"ENSG00000068366","ACSL4"
"ENSG00000068383","INPP5A"
"ENSG00000068400","GRIPAP1"
"ENSG00000068745","IP6K2"
"ENSG00000068878","PSME4"
"ENSG00000068976","PYGM"
"ENSG00000069399","BCL3"
"ENSG00000069431","ABCC9"
"ENSG00000069869","NEDD4"
"ENSG00000070018","LRP6"
"ENSG00000070404","FSTL3"
"ENSG00000070495","JMJD6"
"ENSG00000070610","GBA2"
"ENSG00000070669","ASNS"
"ENSG00000070761","CFAP20"
"ENSG00000070770","CSNK2A2"
"ENSG00000070778","PTPN21"
"ENSG00000070950","RAD18"
"ENSG00000071054","MAP4K4"
"ENSG00000071243","ING3"
"ENSG00000071462","BUD23"
"ENSG00000072071","ADGRL1"
"ENSG00000072121","ZFYVE26"
"ENSG00000072364","AFF4"
"ENSG00000072415","MPP5"
"ENSG00000072682","P4HA2"
"ENSG00000072778","ACADVL"
"ENSG00000072786","STK10"
"ENSG00000072832","CRMP1"
"ENSG00000073008","PVR"
"ENSG00000073146","MOV10L1"
"ENSG00000073605","GSDMB"
"ENSG00000073614","KDM5A"
"ENSG00000073712","FERMT2"
"ENSG00000073792","IGF2BP2"
"ENSG00000073803","MAP3K13"
"ENSG00000074657","ZNF532"
"ENSG00000074755","ZZEF1"
"ENSG00000074935","TUBE1"
"ENSG00000075292","ZNF638"
"ENSG00000075391","RASAL2"
"ENSG00000075413","MARK3"
"ENSG00000075420","FNDC3B"
"ENSG00000075539","FRYL"
"ENSG00000075568","TMEM131"
"ENSG00000075785","RAB7A"
"ENSG00000075856","SART3"
"ENSG00000076053","RBM7"
"ENSG00000076108","BAZ2A"
"ENSG00000076382","SPAG5"
"ENSG00000076604","TRAF4"
"ENSG00000076650","GPATCH1"
"ENSG00000076944","STXBP2"
"ENSG00000077044","DGKD"
"ENSG00000077150","NFKB2"
"ENSG00000077454","LRCH4"
"ENSG00000077458","FAM76B"
"ENSG00000077463","SIRT6"
"ENSG00000077522","ACTN2"
"ENSG00000077684","JADE1"
"ENSG00000077782","FGFR1"
"ENSG00000078246","TULP3"
"ENSG00000078487","ZCWPW1"
"ENSG00000078687","TNRC6C"
"ENSG00000078804","TP53INP2"
"ENSG00000079134","THOC1"
"ENSG00000079215","SLC1A3"
"ENSG00000079387","SENP1"
"ENSG00000079432","CIC"
"ENSG00000080007","DDX43"
"ENSG00000080031","PTPRH"
"ENSG00000080298","RFX3"
"ENSG00000080345","RIF1"
"ENSG00000080371","RAB21"
"ENSG00000080573","COL5A3"
"ENSG00000080603","SRCAP"
"ENSG00000080802","CNOT4"
"ENSG00000080822","CLDND1"
"ENSG00000080823","MOK"
"ENSG00000080824","HSP90AA1"
"ENSG00000080845","DLGAP4"
"ENSG00000080854","IGSF9B"
"ENSG00000081026","MAGI3"
"ENSG00000081041","CXCL2"
"ENSG00000081320","STK17B"
"ENSG00000081386","ZNF510"
"ENSG00000082258","CCNT2"
"ENSG00000082397","EPB41L3"
"ENSG00000082898","XPO1"
"ENSG00000083168","KAT6A"
"ENSG00000083799","CYLD"
"ENSG00000083814","ZNF671"
"ENSG00000083844","ZNF264"
"ENSG00000083896","YTHDC1"
"ENSG00000083937","CHMP2B"
"ENSG00000084093","REST"
"ENSG00000084463","WBP11"
"ENSG00000084652","TXLNA"
"ENSG00000085231","AK6"
"ENSG00000085465","OVGP1"
"ENSG00000085514","PILRA"
"ENSG00000085563","ABCB1"
"ENSG00000085872","CHERP"
"ENSG00000086061","DNAJA1"
"ENSG00000086544","ITPKC"
"ENSG00000086619","ERO1B"
"ENSG00000086712","TXLNG"
"ENSG00000086730","LAT2"
"ENSG00000086758","HUWE1"
"ENSG00000087074","PPP1R15A"
"ENSG00000087076","HSD17B14"
