"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000003756",329.452065709463,4.17763254689554,0.197614201530107,9.27609918790003e-100,9.32763307227725e-98
"ENSG00000004478",463.211847561009,1.74422485055716,0.111860891188189,1.98242205861788e-55,9.89843841682306e-54
"ENSG00000004700",535.561625345351,4.55496164004249,0.169815050314974,4.20411799716889e-159,8.33912720534322e-157
"ENSG00000004777",8.91815020148677,3.22994990100103,1.05038324461403,0.000369605966812713,0.0013072531508178
"ENSG00000005001",72.7418581563756,2.70591398191109,0.362328162716284,1.64568094520141e-14,1.88077822308732e-13
"ENSG00000005007",106.896140982526,1.21493248783389,0.212771570326384,5.27366053846346e-09,3.83924608330573e-08
"ENSG00000005238",151.924085198622,2.32539047301116,0.196675047523386,6.73729385106637e-33,1.93180227650378e-31
"ENSG00000005339",84.6868742170062,2.75280801622476,0.274798600189118,2.34315416170052e-24,4.70580752585624e-23
"ENSG00000005483",59.7910446348461,2.07135472981154,0.295795214367534,5.80654401072468e-13,6.02715105916082e-12
"ENSG00000005513",16.8639966654017,7.98547821915714,2.49295411852159,2.5416600813191e-09,1.91384492862718e-08
"ENSG00000005812",43.2673968884685,1.22509183439613,0.332210241835073,0.000101546351061959,0.000404509260901561
"ENSG00000005889",34.3641527014179,2.29156019338909,0.41630955263576,7.53376439112022e-09,5.36854864091637e-08
"ENSG00000006062",20.8641449516022,1.46620991499626,0.522572454514515,0.00165935408594285,0.00503720066340722
"ENSG00000006118",22.6282547073305,1.43678458117659,0.476283189056372,0.000872688950455668,0.00283393944888945
"ENSG00000006125",137.898797213961,1.3874313260612,0.187133258912108,4.97868262570959e-14,5.53696808143432e-13
"ENSG00000006128",9.02077818209081,2.5788070392134,2.33535228288998,0.0120320727492468,0.028617676315554
"ENSG00000006194",41.374098097587,1.63309478488201,0.351762246592137,1.16323756595749e-06,6.33221050942275e-06
"ENSG00000006327",979.184796857992,1.94251594044846,0.0982110354805742,1.09098258980172e-87,9.29260464725227e-86
"ENSG00000006432",44.5972757600941,1.60723569484491,0.332276016864713,4.16400078813462e-07,2.40505510220141e-06
"ENSG00000006453",99.6016904856885,1.25307495076131,0.22458643141144,1.07446473067919e-08,7.52697111767522e-08
"ENSG00000006652",132.635128619225,2.52803158930946,0.228474265483101,3.57996501483481e-29,8.84605689672493e-28
"ENSG00000007384",134.362460661816,3.1430980762751,0.249214763829043,3.25425375238634e-37,1.08575102153351e-35
"ENSG00000007392",42.9339584056534,1.62273086482334,0.347550922689393,9.31024204507551e-07,5.13570685000737e-06
"ENSG00000007545",43.6138282885592,2.02645684050929,0.363306694057491,5.65716286444021e-09,4.11017151415425e-08
"ENSG00000007944",28.4545501104121,2.3445933786549,0.45019806629718,3.54744607660192e-08,2.33911744941693e-07
"ENSG00000008056",3.09210092432479,4.85198505295194,2.61632212285404,0.000804506749195639,0.00263438664141856
"ENSG00000008128",35.1869000504728,2.26067559845515,0.417136240611396,1.23207640741738e-08,8.58127290976605e-08
"ENSG00000008294",162.440234640171,1.99377955969143,0.183631406200883,3.57818358375419e-28,8.39742273788666e-27
"ENSG00000008300",32.0287493636874,5.77309422228714,0.860288423264511,2.30485143598808e-11,2.11229422741186e-10
"ENSG00000008311",35.4706032961131,2.86310695826532,0.480648718940739,4.38675270447297e-10,3.54915155439823e-09
"ENSG00000008324",58.0677142475554,1.24641785386193,0.330493681667108,6.98960256069012e-05,0.000287526832610207
"ENSG00000008405",233.947132924236,5.99657116728706,0.390496789143567,5.62419968695968e-53,2.68773635205202e-51
"ENSG00000008516",117.562163286858,8.56469703845869,1.26034198970587,6.78028591433799e-14,7.5002704384732e-13
