"","GSM6765254","GSM6765268","GSM6765281","GSM6765294","GSM6765307","GSM6765321","GSM6765335","GSM6765349","GSM6765363","GSM6765379","GSM6765393","GSM6765408"
"WDR54",2.06621299705851,0.957348370814712,1.47478340543795,-0.476377356117669,-0.205025812914835,-1.02855736282505,-0.932781475279445,-0.378856991420937,-0.933060061617892,-0.539867392174755,0.259511541305753,-0.263329862266346
"TSPAN9",1.01052604716807,0.562417868764744,0.968181336744756,0.477324946522716,0.232535559649584,1.16636156631562,-1.74770413069978,-1.59670116417127,-0.970700904941951,0.424753410015794,0.0661808261857222,-0.593175361554005
"POLA2",1.49544845008547,1.51125384348747,1.81382585836546,-0.939181802332155,-0.258641426493454,-0.597915010753893,-0.709246739733452,-0.939181802332155,-0.479656662384035,-0.308226963896058,-0.293736132004413,-0.294741612008789
"CLCA4",0.69744925341658,0.713181529510416,0.843086817926666,0.824863469411753,0.475606259715578,-0.0274778706467114,-1.6114824792525,-1.6118664013449,-1.49721849374462,0.47220776759419,0.843920940665741,-0.122270793252189
"CYP24A1",-0.248898161421097,0.681031691263775,0.0403061521710275,1.22950548822828,-0.275356222416011,0.0277552753683549,-1.47030305512057,-1.26911118818637,-1.06686768961974,-0.0854522943562831,0.513015278282279,1.92437472580635
"RNASET2",1.92595871783311,1.58766712224311,1.19467709213042,-0.909213782102044,-0.562494154519422,-0.213743540610444,-0.67492055835567,-0.675706592436722,-0.909213782102044,-0.587756842336478,0.0773052712240071,-0.252558950967821
"KITLG",1.20854040896996,1.22905225902768,1.17512457621211,-0.916392213093332,0.109710499171787,-0.142604903777006,-1.42885563369872,-1.08363750112699,-1.08137048151895,0.437213716290614,0.980689462372346,-0.487470188829499
"FNIP2",1.22579094867151,1.4082301026132,1.32572640161685,-0.340604383679588,-0.205721470835653,0.10023869927095,-1.45970714547462,-1.36687771183108,-1.16183444012371,0.105454832936829,0.467601874202615,-0.0982977073673041
"MPC1",0.706636740628907,0.663880751404215,0.31444053544316,1.55454469845861,0.763851957883727,1.25092817368773,-1.15097430965226,-1.3953507912917,-0.95037501995895,-0.831438545134511,-0.687831665890182,-0.238312525578747
"RPL18",1.39982027060138,1.37816431446216,1.38292549490252,-0.158021685765272,-0.0555572330231897,-0.115966246822043,-1.40034327561558,-1.32839804313737,-1.19031852694168,-0.0489987176027707,-0.0600538781732834,0.196747527115123
