,baseMean,log2FoldChange,lfcSE,pvalue,padj
EEF2,1379.836144,-1.450918315,0.077449643,9.07E-79,8.88E-77
COL17A1,412.4694691,-1.96877789,0.109582721,8.30E-73,7.54E-71
CLTB,508.4776017,-1.865844,0.104921237,2.33E-71,2.06E-69
AQP3,525.5191767,-1.796641483,0.103926878,1.44E-67,1.23E-65
MT2A,725.56128,-1.969428476,0.117398677,8.03E-64,6.41E-62
B2M,371.3396496,-2.436091153,0.147020688,2.14E-62,1.64E-60
LY6G6C,219.3508286,-2.834374544,0.183505779,1.23E-54,8.01E-53
RPL18,345.2124507,-1.850670338,0.123554045,2.47E-51,1.50E-49
MT1E,240.1370159,-2.340707108,0.163844145,4.71E-47,2.66E-45
SPRR2D,328.0306033,-2.390796129,0.167593109,5.99E-47,3.36E-45
HSP90B1,888.8167193,-1.080957784,0.079642884,3.55E-42,1.79E-40
PABPC1,454.6111917,-1.395569488,0.103223435,4.50E-42,2.26E-40
HLA-A,915.9569941,-1.295197926,0.104495173,1.12E-35,4.83E-34
KRT23,196.1861019,-2.325895748,0.198890664,2.35E-32,9.16E-31
MYL6,581.3901901,-1.062868944,0.091360462,1.48E-31,5.66E-30
CNFN,559.6957332,-1.717754922,0.150112813,6.00E-31,2.20E-29
TENT5B,271.0913191,-1.687621541,0.147250628,6.08E-31,2.22E-29
PLK2,194.5440942,-1.969957039,0.173727174,1.86E-30,6.65E-29
CHCHD2,335.5504338,-1.591962218,0.140325974,2.54E-30,9.02E-29
YBX1,380.0638002,-1.211529865,0.10974371,1.08E-28,3.64E-27
SERPINB2,241.7893039,-1.643285132,0.149463365,1.26E-28,4.23E-27
THBS1,99.62024937,-2.628866139,0.242460773,3.60E-28,1.19E-26
CRYAB,813.7484264,-1.075511568,0.09873663,5.66E-28,1.86E-26
KRT80,170.3358708,-2.12731786,0.198205617,1.39E-27,4.53E-26
ZNF385A,153.3088371,-2.022756251,0.196021148,1.21E-25,3.58E-24
RAB1B,277.3029715,-1.374840759,0.133584708,2.94E-25,8.50E-24
IL1A,229.4267961,-1.70651281,0.166586428,3.63E-25,1.04E-23
NCL,262.3005754,-1.298388981,0.128781697,2.64E-24,7.28E-23
RPS4Y1,315.4351051,-1.425424457,0.148890233,3.72E-22,9.57E-21
BTF3,418.0382024,-1.086859698,0.115434614,2.46E-21,6.06E-20
CTNND1,176.2546558,-1.41642079,0.15177605,3.76E-21,9.09E-20
HLA-E,332.2269556,-1.132489067,0.122205398,9.64E-21,2.27E-19
CDSN,311.4300755,-1.461986019,0.16106314,3.94E-20,8.89E-19
