"","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"1210","ENSG00000168209",1053.0499884825,3.42049778211878,0.0955877047300284,2.94184061105581e-281,1.84533638329864e-278,"DDIT4"
"1609","ENSG00000198431",240.655865364802,3.7437759225706,0.172584391156578,3.79741161296815e-105,5.57492343180431e-103,"TXNRD1"
"494","ENSG00000117394",724.59729882715,1.54041557768674,0.0876997518172224,1.52632105962822e-69,1.32473148571506e-67,"SLC2A1"
"1204","ENSG00000167996",987.466514733983,1.36395500724026,0.0869143035467203,6.15208113347095e-56,4.14140095814142e-54,"FTH1"
"226","ENSG00000100219",277.321408255914,1.50280834769837,0.130485407306045,3.8596855134327e-31,1.43567816941701e-29,"XBP1"
"65","ENSG00000046604",141.945004080152,2.09833468431699,0.184184391975311,1.02958152350913e-30,3.72919291979685e-29,"DSG2"
"576","ENSG00000124145",440.802795348317,1.10070528196388,0.103737273573332,1.35389371401271e-26,4.22708897135189e-25,"SDC4"
"723","ENSG00000134107",353.524083531665,1.13022295856659,0.109543406378782,3.0229316469967e-25,8.70907238591951e-24,"BHLHE40"
"600","ENSG00000125753",171.459148763418,1.66034500180674,0.175583084356195,9.69257097676674e-22,2.42754046242071e-20,"VASP"
"352","ENSG00000106105",336.785324481639,1.08573798536212,0.118980611723672,3.71866761982474e-20,8.39895468962052e-19,"GARS1"
"355","ENSG00000106366",219.707582287747,1.29252185806896,0.146544272677944,5.01716189747085e-19,1.08182553414215e-17,"SERPINE1"
"586","ENSG00000124831",93.9434925784632,1.9642444247146,0.227637858544946,1.50273842876221e-18,3.15163986579309e-17,"LRRFIP1"
"1255","ENSG00000170421",52.2921601614592,2.76772033852482,0.328994001790961,6.63572586755453e-18,1.34318065476543e-16,"KRT8"
"255","ENSG00000101255",112.843396505859,1.61216085022416,0.213040070358003,1.17830194593292e-14,1.99027746069453e-13,"TRIB3"
"1417","ENSG00000181885",66.8680770840417,2.21463070051084,0.295481487020691,1.28809298636495e-14,2.17306640731496e-13,"CLDN7"
