"gene_id","gene_name"
"ENSG00000086061","DNAJA1"
"ENSG00000087074","PPP1R15A"
"ENSG00000108654","DDX5"
"ENSG00000109971","HSPA8"
"ENSG00000120694","HSPH1"
"ENSG00000120738","EGR1"
"ENSG00000130066","SAT1"
"ENSG00000132002","DNAJB1"
"ENSG00000140403","DNAJA4"
"ENSG00000143384","MCL1"
"ENSG00000163191","S100A11"
"ENSG00000167768","KRT1"
"ENSG00000170345","FOS"
"ENSG00000177606","JUN"
"ENSG00000186081","KRT5"
"ENSG00000186847","KRT14"
"ENSG00000198435","NRARP"
"ENSG00000204388","HSPA1B"
"ENSG00000204389","HSPA1A"
"ENSG00000205420","KRT6A"
