,baseMean,log2FoldChange,lfcSE,pvalue,padj
DDIT4,1053.049988,3.420497782,0.095587705,2.94E-281,1.85E-278
TXNRD1,240.6558654,3.743775923,0.172584391,3.80E-105,5.57E-103
SLC2A1,724.5972988,1.540415578,0.087699752,1.53E-69,1.32E-67
FTH1,987.4665147,1.363955007,0.086914304,6.15E-56,4.14E-54
XBP1,277.3214083,1.502808348,0.130485407,3.86E-31,1.44E-29
DSG2,141.9450041,2.098334684,0.184184392,1.03E-30,3.73E-29
SDC4,440.8027953,1.100705282,0.103737274,1.35E-26,4.23E-25
BHLHE40,353.5240835,1.130222959,0.109543406,3.02E-25,8.71E-24
VASP,171.4591488,1.660345002,0.175583084,9.69E-22,2.43E-20
GARS,336.7853245,1.085737985,0.118980612,3.72E-20,8.40E-19
SERPINE1,219.7075823,1.292521858,0.146544273,5.02E-19,1.08E-17
LRRFIP1,93.94349258,1.964244425,0.227637859,1.50E-18,3.15E-17
KRT8,52.29216016,2.767720339,0.328994002,6.64E-18,1.34E-16
TRIB3,112.8433965,1.61216085,0.21304007,1.18E-14,1.99E-13
CLDN7,66.86807708,2.214630701,0.295481487,1.29E-14,2.17E-13
KCTD11,110.539519,1.521469424,0.20395777,2.96E-14,4.83E-13
RALB,197.7597584,1.123441973,0.154785569,1.98E-13,3.04E-12
ADM,135.4112431,1.353968202,0.188383622,2.66E-13,4.05E-12
SLC7A5,239.9374046,1.055899473,0.14726596,4.55E-13,6.74E-12
CERS2,88.42182137,1.652787092,0.234714001,5.63E-13,8.31E-12
CMTM4,43.41031641,2.44845815,0.351212567,5.65E-13,8.33E-12
KIFC2,132.7409597,1.376396194,0.195017197,6.65E-13,9.74E-12
P4HA1,63.04015341,1.889195711,0.271810596,8.71E-13,1.25E-11
AGPAT2,84.26169248,1.684830051,0.243168106,1.23E-12,1.75E-11
KCTD9,131.3023396,1.323884066,0.190784105,1.64E-12,2.30E-11
ANKRD52,96.71287804,1.500601266,0.218599341,2.32E-12,3.22E-11
RCOR1,118.5113351,1.350458626,0.196890839,2.77E-12,3.82E-11
SLC38A1,191.8402636,1.071911154,0.155996563,3.40E-12,4.66E-11
DBN1,73.97603932,1.747094039,0.262142038,7.26E-12,9.65E-11
VEGFA,64.41051282,1.775883712,0.267751094,9.06E-12,1.19E-10
GFPT1,52.24134108,1.956355318,0.298745682,1.37E-11,1.78E-10
DGKQ,36.45500494,2.456190221,0.379920565,1.83E-11,2.35E-10
TES,139.0353959,1.185075415,0.181273657,2.97E-11,3.75E-10
PLOD2,25.71058571,2.960249661,0.475392972,7.37E-11,8.99E-10
DVL1,138.1053503,1.101623715,0.185472875,1.46E-09,1.59E-08
NRBP2,58.39204446,1.666829684,0.289904987,2.61E-09,2.78E-08
TSPAN17,68.75002178,1.492443133,0.258400897,2.67E-09,2.84E-08
