gene_name,Clade I,Clade IIa,Clade IIb,Zaire
WDR37,2.583124095,2.56024451,1.195715,1.01425
NFAT5,3.336505683,3.077000261,1.764112,2.58375
ICAM5,3.432103271,3.311193663,3.93278,2.990625
ELL,2.596807271,2.860409702,1.310743,1.092375
PLAGL1,1.341952318,1.564842028,1.133508,2.790125
DHX38,2.522886543,3.008079799,1.107515,3.5035
GATA6,3.771285672,2.585028373,4.460812,3.2815
ZNF212,1.817422276,2.431312563,1.151629,3.51875
CBX6,1.59213304,3.508409806,2.767875,1.2125
,,,,
,,,,
,,,CBX6,1.2125
,,,DHX38,3.5035
,,,ELL,1.092375
,,,GATA6,3.2815
,,,ICAM5,2.990625
,,,NFAT5,2.58375
,,,PLAGL1,2.790125
,,,WDR37,1.01425
,,,ZNF212,3.51875
