"","res.df"
"1","COL17A1"
"2","AQP3"
"3","MT2A"
"4","RPL18"
"5","SPRR2D"
"6","PABPC1"
"7","KRT23"
"8","MYL6"
"9","CNFN"
"10","TENT5B"
"11","PLK2"
"12","CHCHD2"
"13","YBX1"
"14","THBS1"
"15","CRYAB"
"16","ZNF385A"
"17","IL1A"
"18","NCL"
"19","RPS4Y1"
"20","BTF3"
"21","GRHL1"
"22","RGS2"
"23","EHF"
"24","WDR83OS"
"25","PSMB6"
"26","ADIPOR1"
"27","HADHB"
"28","TUBB2A"
"29","SERF2"
"30","EIF3H"
"31","COX7A2"
"32","HIF1A"
"33","ATP5PB"
"34","COX6A1"
"35","TUFT1"
"36","FLG"
"37","ABCA12"
"38","RHOB"
"39","PSME1"
"40","NUCB1"
"41","CCNB1"
"42","SPRR3"
"43","RND3"
"44","CHMP2A"
"45","HSPB8"
"46","COX7B"
"47","CITED2"
"48","PFDN5"
"49","OAT"
"50","PPARD"
"51","COX4I1"
"52","SLC44A2"
"53","COPZ1"
"54","RAB13"
"55","EMC7"
"56","SLC35B2"
"57","CD81"
"58","TECR"
"59","ACO2"
"60","CD68"
"61","SCAMP2"
"62","NDUFB11"
"63","RAET1L"
"64","IDH3B"
"65","UFC1"
"66","SEMA3C"
"67","REXO2"
"68","OS9"
"69","CALM3"
"70","PSMC5"
"71","PSME2"
"72","COTL1"
"73","FST"
"74","PPP1R7"
"75","TMEM205"
"76","BLMH"
"77","PSMA2"
"78","DKK1"
"79","LYPD5"
"80","TM9SF4"
"81","HDAC5"
"82","MPDU1"
"83","SPPL3"
"84","AP1B1"
"85","SSRP1"
"86","DAAM1"
"87","CLCA4"
"88","MGME1"
"89","CDC20"
"90","RPS10"
"91","NSA2"
"92","CEP55"
"93","DHRS9"
"94","C12orf57"
"95","MPC1"
"96","TNNI2"
"97","CBX4"
"98","CDC23"
"99","DCTN3"
"100","SGK1"
"101","LMAN1"
"102","EDN1"
"103","CCNA2"
"104","ERGIC3"
"105","BIRC5"
"106","TNFSF9"
"107","POLR2K"
"108","DLX5"
"109","MYBL2"
"110","ATP6AP1"
"111","MIEN1"
"112","GPR107"
"113","CEMIP"
"114","ARG1"
"115","INPP4B"
"116","SIPA1L2"
"117","PFKM"
"118","GMNN"
"119","B4GALNT3"
"120","OASL"
"121","QPRT"
"122","ACSS2"
"123","SYT8"
"124","OLFM2"
"125","TGM3"
"126","RBP1"
"127","MRPS9"
"128","MYG1"
"129","JMJD8"
"130","COQ3"
"131","IFI44"
"132","AURKA"
"133","NT5E"
"134","NCF2"
"135","SPATA18"
"136","LMO7"
"137","TRIP13"
"138","CDCA5"
"139","PHLDB2"
"140","SNRPF"
"141","NCAPG"
"142","HAL"
"143","GDPD3"
"144","COMMD9"
"145","TPX2"
"146","C1orf198"
"147","TFAP2C"
"148","WDR18"
"149","GAB1"
"150","CENPF"
"151","KIF11"
"152","CGN"
"153","MYCL"
"154","FOXM1"
"155","FBLN1"
"156","GALNT5"
"157","ADGRF2"
"158","SLC44A3"
"159","DLGAP5"
"160","HJURP"
"161","GSDME"
"162","LTBP2"
"163","FNIP2"
"164","VPS51"
"165","CTSK"
"166","TCN1"
"167","ABTB3"
"168","CCNB2"
"169","ATP2C2"
"170","IL1F10"
"171","C1orf74"
"172","ZNF365"
"173","TESK2"
"174","XDH"
"175","PDZD2"
"176","TMEM50B"
"177","SMC1A"
"178","RUNDC3A"
"179","SSBP3"
"180","PIGS"
"181","KIF20A"
"182","XRCC1"
"183","TGM5"
"184","DDX60"
"185","DQX1"
"186","BUB1B"
"187","NBAS"
"188","KITLG"
"189","MCEE"
"190","TIMP3"
"191","ABCD3"
"192","TMEM101"
"193","STMN1"
"194","TMEM160"
"195","HMMR"
"196","KIF4A"
"197","POLR2F"
"198","MT4"
"199","ARL4A"
"200","RNASET2"
"201","TMEM237"
"202","NRP2"
"203","NTHL1"
"204","MCM10"
"205","KIAA1143"
"206","GPR155"
"207","MTMR4"
"208","CDKN3"
"209","MCM5"
"210","POLA2"
"211","NAT14"
"212","PSD3"
"213","SCARB1"
"214","BCHE"
"215","NCAPG2"
"216","MIOS"
"217","GLIPR1"
"218","CYP24A1"
"219","CCDC80"
"220","KIF2C"
"221","CTSH"
"222","SLC15A1"
"223","WDR54"
"224","MSX2"
"225","GBP2"
"226","SESN3"
"227","LCE2B"
"228","FAHD2B"
"229","SLC44A5"
"230","SORL1"
"231","MAP3K8"
"232","ASPM"
"233","GJA9"
"234","HAT1"
"235","VPS35L"
"236","FANCI"
"237","SYNGR1"
"238","DNAAF5"
"239","ADD3"
"240","WDR62"
"241","DHX40"
"242","BCL11B"
"243","NALF2"
"244","DIAPH3"
"245","TSPAN9"
"246","NDC80"
"247","C3orf14"
"248","SKA1"
