"","X","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"90","ENSG00000065618",412.469469069158,-1.96877788957334,0.109582720661675,8.30498703395994e-73,7.54005401767416e-71
"1203","ENSG00000165272",525.519176749607,-1.79664148347799,0.103926877716942,1.43826106903639e-67,1.22518535510507e-65
"611","ENSG00000125148",725.561280009024,-1.96942847643084,0.117398676707334,8.03294421294559e-64,6.40778208893926e-62
"73","ENSG00000063177",345.212450725458,-1.85067033806283,0.123554045258459,2.47313995976916e-51,1.49690050196554e-49
"1153","ENSG00000163216",328.030603308927,-2.3907961294749,0.167593108595109,5.98671102614671e-47,3.3583988683262e-45
"108","ENSG00000070756",454.611191659642,-1.39556948820603,0.103223434977802,4.49561692123944e-42,2.26421582164614e-40
"381","ENSG00000108244",196.186101859078,-2.32589574761081,0.198890664352972,2.34981689625719e-32,9.1603031549009e-31
"212","ENSG00000092841",581.390190070741,-1.06286894382543,0.0913604615516183,1.48423993673844e-31,5.65815224502499e-30
"333","ENSG00000105427",559.695733221146,-1.71775492234843,0.150112813273016,5.99620629257902e-31,2.20073528823379e-29
"1085","ENSG00000158246",271.09131914413,-1.68762154100337,0.147250627972687,6.07716533623134e-31,2.22453266949582e-29
"944","ENSG00000145632",194.544094204921,-1.96995703920632,0.173727174091528,1.86080016189789e-30,6.65260161507534e-29
"350","ENSG00000106153",335.550433811189,-1.59196221756377,0.140325973900553,2.53647656741559e-30,9.02148882225134e-29
"93","ENSG00000065978",380.063800236973,-1.21152986538726,0.109743709989607,1.07503730364565e-28,3.63615558586028e-27
"823","ENSG00000137801",99.6202493724993,-2.62886613942699,0.242460773021098,3.59643104466531e-28,1.19304683693224e-26
"409","ENSG00000109846",813.748426368834,-1.07551156785335,0.0987366300003864,5.66176367779731e-28,1.86029377984769e-26
"1120","ENSG00000161642",153.308837107038,-2.02275625100436,0.196021147610613,1.20966119506842e-25,3.58225847466614e-24
"477","ENSG00000115008",229.426796141251,-1.7065128095141,0.166586427615058,3.63127868461064e-25,1.04182215899432e-23
"478","ENSG00000115053",262.300575389492,-1.29838898113632,0.128781696896423,2.64364297897096e-24,7.2818908402793e-23
"680","ENSG00000129824",315.435105092455,-1.42542445694525,0.148890232989703,3.72477061465667e-22,9.57203621643614e-21
"946","ENSG00000145741",418.038202438105,-1.08685969842493,0.115434613709503,2.4558836288202e-21,6.06282541640766e-20
"745","ENSG00000134317",115.774779000812,-1.7333990757866,0.194872932584159,1.58203409614886e-19,3.51563132477524e-18
"510","ENSG00000116741",61.4303809111304,-2.81778212160759,0.321872603566974,3.24791476880245e-19,7.10320504112106e-18
"763","ENSG00000135373",133.780238118377,-1.78924236829562,0.219850542514068,1.05244703385268e-16,2.00327849202303e-15
"337","ENSG00000105583",230.760972313653,-1.47707151987627,0.185174941763997,5.1278107073433e-16,9.37268712070696e-15
"883","ENSG00000142507",217.194952176943,-1.1490979678322,0.143565496495778,5.81810396200461e-16,1.06063189796121e-14
"1096","ENSG00000159346",233.25364662463,-1.05844072144243,0.133455282876372,1.15888663323717e-15,2.07966651998347e-14
"831","ENSG00000138029",85.5704494013828,-1.7510650506412,0.227142019158649,3.36239836504323e-15,5.85872442393896e-14
"807","ENSG00000137267",174.156812514463,-1.39359343135569,0.18113000859739,5.27132000647402e-15,9.07035113333435e-14
"860","ENSG00000140264",121.181949728522,-1.49113194108435,0.194887261100694,6.87527601204675e-15,1.1786187449223e-13
"971","ENSG00000147677",77.4925430570042,-1.84022058881608,0.24234111938742,7.64484655399032e-15,1.30729718023626e-13
"455","ENSG00000112695",159.391774683186,-1.33710231386394,0.174856109694346,8.14244511590753e-15,1.38894613843664e-13
"261","ENSG00000100644",231.166760573701,-1.0250511809805,0.133344905573555,8.2934130706774e-15,1.41295185648578e-13
"503","ENSG00000116459",105.252487472405,-1.69765664906997,0.224661599421453,1.13388610854088e-14,1.9176015070912e-13
"442","ENSG00000111775",158.870291033095,-1.39990004530604,0.188582159485837,4.20466144860416e-14,6.78647111002777e-13
"905","ENSG00000143367",122.986807940002,-1.486962551581,0.201269946796701,5.06849494803171e-14,8.14263449159926e-13
"916","ENSG00000143631",75.2722964190994,-1.86164547442517,0.254099229073841,5.85464782034346e-14,9.37287006041065e-13
