,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
ENSG00000000003,15.7586738,16.99390462,17.81944081,2.211629729,2.202472794,1.104461764,2.976609399,2.224967343,3.717970508,6.125988619,4.177787474,6.256918929
ENSG00000000419,118.1900535,151.8122146,131.418376,266.5013824,275.3090992,212.0566587,161.4810599,155.747714,168.7958611,290.9844594,260.0672702,251.319577
ENSG00000000457,12.38181513,13.59512369,13.36458061,15.4814081,17.61978235,11.04461764,7.441523497,5.191590467,6.692346915,15.31497155,15.66670303,18.77075679
ENSG00000000460,4.502478227,4.531707898,4.454860203,6.634889188,6.607418381,7.731232347,5.209066448,3.708278905,5.205158712,5.104990516,8.355574948,5.214099107
ENSG00000001036,29.26610848,26.05732041,30.07030637,3.317444594,7.708654778,3.313385292,23.81287519,27.4412639,22.30782305,12.25197724,8.355574948,11.47101804
ENSG00000001084,55.15535829,57.7792757,53.45832244,45.33840945,46.25192867,47.49185585,61.76464502,63.04074139,70.64143966,51.04990516,50.13344969,47.96971179
ENSG00000001167,41.6479236,40.78537108,42.32117193,74.08959593,73.78283859,53.01416467,29.02194164,40.79106796,34.20532868,90.86883119,89.82243069,103.2391623
ENSG00000001460,10.13057601,9.063415796,10.02343546,6.634889188,6.607418381,7.731232347,8.185675846,7.41655781,8.179535118,7.146986722,3.133340605,8.342558572
ENSG00000001461,15.7586738,18.12683159,16.70572576,6.634889188,7.708654778,6.626770583,9.673980546,11.8664925,10.41031742,8.167984826,7.311128079,7.29973875
ENSG00000001497,39.39668449,38.51951713,36.75259668,15.4814081,14.31607316,18.77584999,14.13889464,12.60814828,12.64109973,19.39896396,19.8444905,21.89921625
ENSG00000001617,110.3107166,108.7609895,105.8029298,12.16396351,13.21483676,19.88031175,17.85965639,20.76636187,21.56422895,29.60894499,31.33340605,28.15613518
ENSG00000001629,46.15040183,45.31707898,43.43488698,42.02096486,51.75811065,50.80524114,75.15938732,71.19895498,64.69268684,38.79792792,41.77787474,38.58433339
ENSG00000001630,165.4660749,160.8756304,160.3749673,80.72448512,88.09891175,86.14801758,155.5278411,154.2644025,150.9496026,132.7297534,120.1113899,123.0527389
ENSG00000001631,19.13553247,19.25975857,18.93315586,18.7988527,22.02472794,19.88031175,27.53363694,28.18291968,31.23095227,21.44096017,20.88893737,16.68511714
ENSG00000002016,9.004956455,6.797561847,6.682290305,9.952333782,5.506181985,6.626770583,6.697371147,11.12483672,9.666723321,16.33596965,16.7111499,12.51383786
ENSG00000002330,59.65783651,56.64634872,49.00346223,12.16396351,8.809891175,14.35800293,42.41668393,60.07411826,56.51315172,24.50395448,17.75559676,15.64229732
ENSG00000002549,45.02478227,41.91829805,41.20745688,7.740704052,11.01236397,5.522308819,14.13889464,12.60814828,13.38469383,16.33596965,15.66670303,12.51383786
ENSG00000002586,29.26610848,32.85488226,31.18402142,19.90466756,16.51854595,17.67138822,52.83481683,51.17424889,48.33361661,19.39896396,16.7111499,18.77075679
ENSG00000002587,1.125619557,1.132926974,1.113715051,1.105814865,0,0,1.488304699,0.741655781,0.743594102,1.020998103,0,0
ENSG00000002822,11.25619557,10.19634277,11.13715051,5.529074323,5.506181985,5.522308819,8.929828196,8.899869373,10.41031742,8.167984826,5.222234342,7.29973875
ENSG00000002834,72.03965164,70.24147242,72.3914783,43.12677972,39.64451029,48.59631761,75.90353967,79.35716857,81.05175708,44.92391654,41.77787474,52.14099107
ENSG00000002919,29.26610848,31.72195528,28.95659132,24.32792702,18.72101875,22.08923528,23.06872284,23.73298499,28.25657586,34.71393551,30.28895918,35.45587393
ENSG00000003056,85.54708632,87.23537703,91.32463416,129.3803392,153.0718592,142.4755675,109.3903954,109.0233998,123.4366209,108.2257989,113.8447087,115.7530002
ENSG00000003096,1.125619557,1.132926974,2.227430102,0,1.101236397,1.104461764,0,0.741655781,0,0,1.044446868,0
ENSG00000003137,1.125619557,1.132926974,1.113715051,5.529074323,7.708654778,4.417847055,0.74415235,1.483311562,3.717970508,3.06299431,4.177787474,3.128459464
ENSG00000003147,11.25619557,9.063415796,10.02343546,3.317444594,3.303709191,6.626770583,6.697371147,8.158213592,8.92312922,7.146986722,7.311128079,2.085639643
ENSG00000003249,13.50743468,13.59512369,12.25086556,7.740704052,8.809891175,6.626770583,11.90643759,12.60814828,11.89750563,5.104990516,5.222234342,2.085639643
ENSG00000003393,22.51239114,23.79146646,21.16058596,47.55003918,46.25192867,39.7606235,36.46346513,29.66623124,26.02579356,57.17589378,49.08900282,56.31227036
ENSG00000003400,10.13057601,7.930488821,8.909720406,2.211629729,2.202472794,2.208923528,2.232457049,1.483311562,2.974376407,2.041996206,4.177787474,4.171279286
ENSG00000003402,16.88429335,16.99390462,17.81944081,14.37559324,13.21483676,14.35800293,14.13889464,14.83311562,14.87188203,15.31497155,15.66670303,14.5994775
ENSG00000003436,0,0,0,1.105814865,2.202472794,1.104461764,0.74415235,0.741655781,0.743594102,1.020998103,1.044446868,1.042819821
ENSG00000003509,13.50743468,16.99390462,16.70572576,18.7988527,19.82225514,17.67138822,26.78948459,26.69960812,18.58985254,17.35696775,14.62225616,17.72793696
