"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HCCS",110.915367583637,0.777688868626859,0.208781712233071,0.000137884864163826,0.000612624315988667
"SPATA20",10.3407642426892,0.165607214888444,0.563766549676744,0.725480305618299,0.803382605244255
"KDM7A",45.5126032611037,0.541022470189859,0.31606289975848,0.0712982811200649,0.137418474784483
"PRSS21",9.11670285620664,0.911412677184825,0.720103122721223,0.101010015269135,0.180912996122525
"PKD1",19.7028792400467,0.416480118621226,0.546990660217196,0.369679274079561,0.490583131291272
"SCMH1",17.0213057040101,0.975087502004189,0.527355549019924,0.0334119459766363,0.0744045271062741
"MRC2",20.6001603361939,0.169191451402839,0.432099189599122,0.667279254089329,0.758709212032029
"SEMA3B",4.26716246886346,1.41599194258089,1.22758532429964,0.0580700117651764,0.116409959668715
"AIFM2",10.9647183534995,0.604609078273967,0.732963738108433,0.265163833036633,0.382567788385315
"DSG2",141.945004080152,0.473460305815116,0.196946020707272,0.0142885073282277,0.0364880461009516
"TSPAN17",68.7500217775586,0.644268498947381,0.26630438495252,0.0120576946130731,0.0314846141268512
"ATP9A",30.5294594280587,0.265966635895061,0.375356844736382,0.447355365876359,0.565909253744042
"EIF2AK2",28.3376533403,0.362589775784718,0.382639949016919,0.305227082168988,0.424054538803185
"SLC2A3",23.3919835362633,-0.408276477019376,0.448164527737314,0.309388256250687,0.428197566568998
"SPHK2",10.1927755738567,1.1651516682506,0.688593988069524,0.035546280982843,0.0783357837054031
"ZNF275",6.20827947227237,0.862164769735757,0.852011271885591,0.144575488777961,0.240224569653548
"MTHFD2",34.75675206719,-0.340723434740862,0.374619442095758,0.326566979788349,0.445669929726913
"CACNB1",10.5898875292641,0.804431076472562,0.665605055715024,0.128068888697711,0.218650335769939
"CBFB",40.4193445758415,0.401446173463354,0.331876882791994,0.200172884041315,0.307683871660743
"RASSF1",66.2841050168997,-0.142172560870722,0.276230768948197,0.592640040420671,0.695859147264976
"MNT",17.5106068848617,-0.093313139194845,0.468195269473906,0.823092644537727,0.876576516022583
"ATP2B1",51.4663549181769,0.371154199135936,0.297302426452222,0.192760362650114,0.299189405530489
"SPEG",5.87604175452737,1.32814818252194,0.979130398814099,0.0497458436938016,0.102829934537816
"PDE8A",16.2003254984925,0.274146166236964,0.482606946140769,0.519910725939595,0.632193851261469
"CELSR1",31.8550125316475,0.118856282193218,0.37046353601441,0.730636115257853,0.806686806189164
"VPS9D1",20.1150450704554,0.864318481452545,0.539743576009397,0.0628508672758852,0.123837855027111
"ZNF37A",13.0031970047991,0.105425518434269,0.540240337780351,0.804297970499347,0.863088024330559
"ITCH",63.7376286752986,0.786700350088594,0.274022015097939,0.00282859829121582,0.00905886665555309
"TNS1",3.21527844480757,0.401252611538886,0.900509985065894,0.426905862366725,0.546452175184195
"MID2",34.3020184351971,0.306376527174103,0.385297948578395,0.390016810396588,0.510793582943239
"TRAF5",2.17484131735086,1.71576769887316,2.28372970549205,0.0310448972823236,0.0700260840954667
"ULK2",9.58979180478572,-0.137771872636049,0.602697779062453,0.776928462429948,0.845153143743755
"ZNF416",33.7283454019807,0.392403571002283,0.367700488259864,0.248622476967879,0.363490855191941
"BCORL1",14.0200940227283,0.754427276297073,0.554407525122779,0.109642551310841,0.192944045918082
"DDHD2",14.8645032820436,-0.483461538289613,0.515857777999358,0.277580490978994,0.395193518571146
"SNX10",7.6997706060559,0.322558781714256,0.735497525538326,0.536620255206749,0.647491433230142
"KLHL42",18.926281452285,-0.301853362554269,0.474527089226285,0.471644284162178,0.588580483400278
"DOCK9",45.221774479022,0.882332965389611,0.315631346256882,0.00324734122436138,0.0102266793464599
"RCOR1",118.511335097576,0.750270124412284,0.203599647192048,0.000162610084176184,0.00071329280407862
"PDCD7",40.7195770124083,-0.0588877765350185,0.331073306427732,0.849720094262631,0.898279247803302
"RAB11FIP3",28.2158126367341,0.591773569833255,0.414360398338311,0.117808175544036,0.204291633891393
"TNRC6A",30.699016710359,0.570160843316612,0.371682815973268,0.0988875390089062,0.177850650113763
"UPRT",10.4357058087874,-0.0168167434946056,0.595243408741505,0.972483595951033,0.98116680720924
"SMIM24",2.24805853938737,0.831458408678833,1.34021692741131,0.115659168395545,0.201552787455301
"LZTR1",32.2153868589406,0.00378187211908455,0.377809894995659,0.991124494349372,0.993580459044789
"XBP1",277.321408255914,0.613879992616491,0.13650070074472,5.5517508647528e-06,3.24498779896606e-05
"SUN2",38.1352209810948,0.178302631980091,0.337828738509972,0.57626400448274,0.68091816609828
"BIK",11.7663804822323,-0.118709708779775,0.655295660863531,0.813231246732714,0.869294438800267
"ZC3H7B",38.7020102290756,0.492489669490482,0.331569428526508,0.11568676798506,0.201575429064876
"CGRRF1",9.86837922966144,0.763775435173309,0.640925626064849,0.139162354896283,0.233724118526199
"PCK2",30.3694284500823,0.0484060520464311,0.364589725275621,0.891326783901618,0.928806024012325
"NINL",4.47494358147836,0.889535595314227,0.969616942942963,0.14704684814471,0.243373291484409
"CTSZ",67.3604972013526,0.140881182043097,0.285894953299439,0.606316179909137,0.707705558497964
"TRIB3",112.843396505859,-0.485369958535074,0.23171916096325,0.0313070417207772,0.0705366817545673
"CDS2",14.3105552707953,-0.12993542952481,0.505032473675555,0.766511353598032,0.837717326336647
"ABCD1",4.93110792521298,1.40634891070987,1.0892896118956,0.0493313341495117,0.102218079769259
"RENBP",2.16222971349119,0.98552034760484,1.45640596027711,0.0901075756076086,0.165071623972521
"SMARCA1",34.136235497543,0.891942895589961,0.385511396991225,0.0126693528856774,0.0328702894947074
"KLF8",14.4210122552654,0.474386364577979,0.513796385499561,0.28698485517406,0.404989365109115
"PARP4",31.2718812667695,-0.0121808335334009,0.376822549023978,0.972303333196536,0.981119186758716
"KATNAL1",6.10401728666979,0.0280585276042737,0.706927361052784,0.95590280302311,0.970888252132106
"SLC7A5",239.937404577008,0.528909175200987,0.151962268283629,0.000438652127197914,0.00174349059773364
"CD276",32.1373323147785,0.0776990668272752,0.378111546519093,0.825145581880116,0.878288394133868
"GSR",24.1692192668406,-0.559163328867097,0.435841189243069,0.154869488488668,0.253176581356577
"KCTD9",131.302339586745,0.67369713938901,0.197084979942006,0.000487797408119219,0.00191347476749438
"SNAPC2",29.8787504034627,-0.441346055953531,0.405363284488369,0.234207300493428,0.34727202608889
"IL27RA",6.08369112914362,0.398422477262178,0.751964379570754,0.452542862973466,0.570471668350535
"DENND3",4.57211889543054,1.27528450338803,1.08473705844165,0.0652419624914191,0.1277801706474
"KXD1",85.3241195105295,0.895230054788296,0.242700670392697,0.000140283150333851,0.000622078237341628
"PLEKHA8",22.7079304115855,0.930962087468799,0.448396158050844,0.0206626954317494,0.0498592755653335
