,baseMean,log2FoldChange,lfcSE,pvalue,padj
HCCS,110.9153676,0.777688869,0.208781712,0.000137885,0.000612624
SPATA20,10.34076424,0.165607215,0.56376655,0.725480306,0.803382605
KDM7A,45.51260326,0.54102247,0.3160629,0.071298281,0.137418475
PRSS21,9.116702856,0.911412677,0.720103123,0.101010015,0.180912996
PKD1,19.70287924,0.416480119,0.54699066,0.369679274,0.490583131
SCMH1,17.0213057,0.975087502,0.527355549,0.033411946,0.074404527
MRC2,20.60016034,0.169191451,0.43209919,0.667279254,0.758709212
SEMA3B,4.267162469,1.415991943,1.227585324,0.058070012,0.11640996
AIFM2,10.96471835,0.604609078,0.732963738,0.265163833,0.382567788
DSG2,141.9450041,0.473460306,0.196946021,0.014288507,0.036488046
TSPAN17,68.75002178,0.644268499,0.266304385,0.012057695,0.031484614
ATP9A,30.52945943,0.265966636,0.375356845,0.447355366,0.565909254
EIF2AK2,28.33765334,0.362589776,0.382639949,0.305227082,0.424054539
SLC2A3,23.39198354,-0.408276477,0.448164528,0.309388256,0.428197567
SPHK2,10.19277557,1.165151668,0.688593988,0.035546281,0.078335784
ZNF275,6.208279472,0.86216477,0.852011272,0.144575489,0.24022457
MTHFD2,34.75675207,-0.340723435,0.374619442,0.32656698,0.44566993
CACNB1,10.58988753,0.804431076,0.665605056,0.128068889,0.218650336
CBFB,40.41934458,0.401446173,0.331876883,0.200172884,0.307683872
RASSF1,66.28410502,-0.142172561,0.276230769,0.59264004,0.695859147
MNT,17.51060688,-0.093313139,0.468195269,0.823092645,0.876576516
ATP2B1,51.46635492,0.371154199,0.297302426,0.192760363,0.299189406
SPEG,5.876041755,1.328148183,0.979130399,0.049745844,0.102829935
PDE8A,16.2003255,0.274146166,0.482606946,0.519910726,0.632193851
CELSR1,31.85501253,0.118856282,0.370463536,0.730636115,0.806686806
VPS9D1,20.11504507,0.864318481,0.539743576,0.062850867,0.123837855
ZNF37A,13.003197,0.105425518,0.540240338,0.80429797,0.863088024
ITCH,63.73762868,0.78670035,0.274022015,0.002828598,0.009058867
TNS1,3.215278445,0.401252612,0.900509985,0.426905862,0.546452175
MID2,34.30201844,0.306376527,0.385297949,0.39001681,0.510793583
TRAF5,2.174841317,1.715767699,2.283729705,0.031044897,0.070026084
ULK2,9.589791805,-0.137771873,0.602697779,0.776928462,0.845153144
ZNF416,33.7283454,0.392403571,0.367700488,0.248622477,0.363490855
BCORL1,14.02009402,0.754427276,0.554407525,0.109642551,0.192944046
DDHD2,14.86450328,-0.483461538,0.515857778,0.277580491,0.395193519
SNX10,7.699770606,0.322558782,0.735497526,0.536620255,0.647491433
KLHL42,18.92628145,-0.301853363,0.474527089,0.471644284,0.588580483
DOCK9,45.22177448,0.882332965,0.315631346,0.003247341,0.010226679
RCOR1,118.5113351,0.750270124,0.203599647,0.00016261,0.000713293
PDCD7,40.71957701,-0.058887777,0.331073306,0.849720094,0.898279248
RAB11FIP3,28.21581264,0.59177357,0.414360398,0.117808176,0.204291634
TNRC6A,30.69901671,0.570160843,0.371682816,0.098887539,0.17785065
UPRT,10.43570581,-0.016816743,0.595243409,0.972483596,0.981166807
SMIM24,2.248058539,0.831458409,1.340216927,0.115659168,0.201552787
LZTR1,32.21538686,0.003781872,0.377809895,0.991124494,0.993580459
XBP1,277.3214083,0.613879993,0.136500701,5.55E-06,3.24E-05
SUN2,38.13522098,0.178302632,0.337828739,0.576264004,0.680918166
BIK,11.76638048,-0.118709709,0.655295661,0.813231247,0.869294439
ZC3H7B,38.70201023,0.492489669,0.331569429,0.115686768,0.201575429
CGRRF1,9.86837923,0.763775435,0.640925626,0.139162355,0.233724119
PCK2,30.36942845,0.048406052,0.364589725,0.891326784,0.928806024
NINL,4.474943581,0.889535595,0.969616943,0.147046848,0.243373291
CTSZ,67.3604972,0.140881182,0.285894953,0.60631618,0.707705558
TRIB3,112.8433965,-0.485369959,0.231719161,0.031307042,0.070536682
CDS2,14.31055527,-0.12993543,0.505032474,0.766511354,0.837717326
ABCD1,4.931107925,1.406348911,1.089289612,0.049331334,0.10221808
RENBP,2.162229713,0.985520348,1.45640596,0.090107576,0.165071624
SMARCA1,34.1362355,0.891942896,0.385511397,0.012669353,0.032870289
KLF8,14.42101226,0.474386365,0.513796385,0.286984855,0.404989365
PARP4,31.27188127,-0.012180834,0.376822549,0.972303333,0.981119187
KATNAL1,6.104017287,0.028058528,0.706927361,0.955902803,0.970888252
SLC7A5,239.9374046,0.528909175,0.151962268,0.000438652,0.001743491
CD276,32.13733231,0.077699067,0.378111547,0.825145582,0.878288394
GSR,24.16921927,-0.559163329,0.435841189,0.154869488,0.253176581
KCTD9,131.3023396,0.673697139,0.19708498,0.000487797,0.001913475
SNAPC2,29.8787504,-0.441346056,0.405363284,0.2342073,0.347272026
IL27RA,6.083691129,0.398422477,0.75196438,0.452542863,0.570471668
DENND3,4.572118895,1.275284503,1.084737058,0.065241962,0.127780171
KXD1,85.32411951,0.895230055,0.24270067,0.000140283,0.000622078
PLEKHA8,22.70793041,0.930962087,0.448396158,0.020662695,0.049859276
GARS,336.7853245,0.526597752,0.123527495,1.70E-05,9.11E-05
SERPINE1,219.7075823,0.875025987,0.150506943,4.05E-09,3.53E-08
CREB3,69.59749049,-0.285291929,0.28947771,0.301888044,0.420697386
DVL1,138.1053503,0.141447101,0.193652195,0.459210715,0.5769399
RAB11FIP2,16.70553679,0.630484793,0.516403683,0.159009329,0.258277864
TRIM16L,8.700372988,-0.440829524,0.670716819,0.39270754,0.51344046
ABCC3,23.37514892,0.682145695,0.454178228,0.094177116,0.170915861
SNX25,16.39531025,0.654744712,0.490797313,0.129532736,0.220576476
CEP164,19.10159066,0.747046244,0.465808431,0.072206621,0.13876734
PITPNM1,20.22263992,0.302196933,0.44654759,0.452124929,0.57016577
CAPRIN2,13.53260816,0.320047515,0.523282276,0.477248488,0.593725085
SH2B3,7.938975362,0.596592306,0.732713621,0.270979189,0.388924889
SLC38A1,191.8402636,0.084827741,0.164182418,0.601595153,0.703441205
MAN1A1,20.28578982,0.054758462,0.451459266,0.893248824,0.929976143
UST,9.750846145,0.035505075,0.588091372,0.943255365,0.962861457
FBXO9,26.45067027,0.864678232,0.402974413,0.019565317,0.047643641
ARFGEF3,4.152064834,0.455160825,0.858902749,0.391398527,0.512257103
VEGFA,64.41051282,0.619532528,0.278219605,0.020573989,0.049688667
DBN1,73.97603932,0.340502073,0.272136373,0.194072309,0.30065086
CCDC88A,7.490945557,1.486408656,0.848590384,0.021833601,0.052273368
KDM3A,36.09344092,0.173993567,0.341563431,0.589462564,0.692959722
SLC1A4,10.11900559,-0.305261322,0.610057701,0.534888043,0.645801383
LRRC42,123.923964,0.297505803,0.192712542,0.117009486,0.20339223
SLC2A1,724.5972988,-0.559482296,0.096053781,4.86E-09,4.18E-08
FAAH,9.95191492,0.414281306,0.655940602,0.41952484,0.539808186
TMED5,51.11402066,0.985929947,0.308781864,0.000799711,0.002977074
USP35,12.91477572,0.539807673,0.54104444,0.244004822,0.358181741
STBD1,16.74482296,-1.684880019,0.661547545,0.002824372,0.009051632
KLF12,6.34637061,0.42652349,0.792119342,0.423638412,0.543530131
DCAF4,11.40455732,0.536178975,0.620466054,0.284394618,0.402321448
MTHFD1L,26.78917431,-0.050405096,0.40644603,0.890266373,0.927997845
CYSTM1,62.13267294,-0.032083946,0.296535085,0.907976763,0.941337151
PPP3CC,46.57988083,0.508392305,0.32791012,0.101022866,0.180912996
PDLIM2,30.60696583,0.40857246,0.380114974,0.246067582,0.360757951
CLCC1,18.5244107,0.248923854,0.45194405,0.540183807,0.650827356
SHLD2,13.27209097,0.397477497,0.543493171,0.387871534,0.509046807
ZMIZ2,36.6592866,0.919443373,0.355464368,0.005872552,0.017004033
CHST3,18.82589701,-0.171526705,0.471755544,0.681760372,0.771108362
P4HA1,63.04015341,-0.133644896,0.289900325,0.627962381,0.726402999
ACADS,8.874357663,0.570327245,0.636404759,0.262544883,0.3797421
PKN1,4.586897864,0.460717914,0.858634126,0.386231747,0.507473875
LRP1,21.62617032,0.057237808,0.419547454,0.884012445,0.923844887
SDC4,440.8027953,0.44944814,0.10816946,2.86E-05,0.000146474
LRRFIP1,93.94349258,0.779915246,0.237873766,0.000734499,0.002764136
RAB17,1.679821144,0.608493731,1.155195463,0.234068109,0.347174951
SRMS,4.162694794,0.998428085,1.158708901,0.115828755,0.201720951
SH2D3A,29.6308976,0.090334651,0.380710965,0.798759887,0.859706158
VASP,171.4591488,-0.093152713,0.187663033,0.608978513,0.709729201
OVOL2,10.38587943,0.119339113,0.603694423,0.805367551,0.863497472
WDR60,11.87340398,0.507500349,0.571027911,0.287695477,0.405743238
TRAF2,24.27224241,0.903595712,0.454083967,0.026185151,0.060691146
KDM4B,16.3762237,0.618986167,0.494900897,0.154059007,0.252256086
DGCR8,28.1298816,0.166156361,0.384701716,0.640417964,0.736556556
IRF5,20.14661948,0.383188026,0.45282116,0.345464163,0.465885415
ADCY4,2.181232976,1.386252931,1.923970652,0.044930686,0.094705162
ABHD17A,28.10079724,0.612828104,0.396903572,0.093316864,0.169644675
HELZ2,16.25832747,0.273902576,0.482077947,0.520334328,0.632580986
ZNF337,35.26050583,0.495132769,0.35956044,0.14081799,0.235835954
LAMA5,36.48242655,0.061301717,0.340433506,0.849879556,0.898310193
ARHGEF16,21.70278612,0.382232805,0.46096272,0.352958127,0.473530081
C12orf65,9.781460423,0.369181715,0.596170188,0.448752894,0.56700146
ANO1,9.053852332,0.473057246,0.656751829,0.356845616,0.477377017
WDR44,47.8691098,0.534029045,0.311831715,0.072037493,0.138552948
SELENOS,62.12139114,-0.090140392,0.264662304,0.725662657,0.803382605
RHPN2,13.41709801,0.586897032,0.570714529,0.219824334,0.331212557
C19orf12,11.01460782,-0.024974278,0.578046515,0.957542759,0.97219615
TRIM47,11.24836632,0.291407179,0.649163889,0.562907463,0.670499201
SPART,47.32383351,0.428129349,0.313081753,0.150892097,0.248379119
KRAS,63.32575345,0.168441111,0.266499159,0.512010267,0.624899769
IMPA1,21.48771689,0.736473721,0.44142922,0.063428266,0.124776916
TTC9,16.12873662,-0.241314569,0.509451846,0.584328616,0.688149419
CAMK1,8.343336055,1.432325578,0.947776607,0.034019933,0.075441054
BHLHE40,353.5240835,-0.619999275,0.121669097,2.89E-07,2.05E-06
SPIRE1,46.60449963,0.433953161,0.311346551,0.142961163,0.238326172
CDC73,29.87093057,0.530607679,0.377819616,0.130026536,0.221280824
ECHDC3,14.66560325,0.058898947,0.575983314,0.900351296,0.935324291
AGO4,18.47575252,0.077469413,0.469182067,0.852939118,0.900240168
TES,139.0353959,0.376337347,0.1890467,0.042703707,0.090846161
ANKRD36,2.557965941,0.735926502,1.107608332,0.163255438,0.263376789
ALDH1L2,6.298519365,-0.059562937,0.714541834,0.907486247,0.941148376
SPRY2,13.11175045,0.330983625,0.572639424,0.486920075,0.602645474
HUS1,48.83151699,0.951873174,0.317528403,0.001594878,0.005495458
LIMD2,4.803090519,1.878387524,1.537251492,0.025365158,0.059138229
FPGS,31.16372258,0.711249609,0.395795325,0.051322776,0.105379306
KIF12,4.971235289,1.740730692,1.311210092,0.033947888,0.075354809
FRS3,4.38150396,0.531492384,0.931333317,0.318645922,0.437630744
ADCY3,15.89289916,-0.017979893,0.488838553,0.965730013,0.977549512
APH1B,11.10313124,0.534115161,0.594139253,0.274645533,0.392391382
LARP1B,18.46141369,0.285864618,0.45998573,0.486595613,0.602297915
CDKL2,3.112456371,0.759161935,1.112471808,0.157057232,0.255678872
CERS5,19.2400727,0.561628246,0.473823187,0.181469837,0.285933339
ANKRD52,96.71287804,0.907749763,0.225600774,3.60E-05,0.000181049
JDP2,9.350196563,0.602266092,0.734428063,0.267497568,0.38484846
UBE2Q2,50.59505407,0.242949772,0.307293028,0.411080247,0.531469685
NEIL1,5.605203469,0.887365,0.899257611,0.141890489,0.237028053
TLNRD1,10.18739227,0.551385526,0.609959085,0.266684686,0.384057351
SMAD4,21.43006305,0.966727181,0.453818936,0.018151107,0.044745494
WTIP,7.255955142,1.468792825,0.86305395,0.024084982,0.056689878
HSPG2,17.38931017,0.393052967,0.463689169,0.341794678,0.462201525
MOB3C,21.92419237,-0.069005274,0.430219304,0.858347517,0.90469684
CERS2,88.42182137,0.539809692,0.243580499,0.022198685,0.052991154
ATP8B2,20.29008698,0.462976798,0.454823868,0.255839247,0.371778352
PYCR2,56.08420512,-0.028476374,0.282088668,0.915814191,0.945692595
PPFIA4,5.622960673,-0.21726569,0.870805473,0.654076373,0.747763562
ZNF514,13.21206978,0.32624797,0.539486968,0.477575342,0.594063433
RALB,197.7597584,0.141031559,0.162552969,0.381107587,0.502616461
LYG1,6.912027758,0.737802848,0.899060866,0.199965319,0.307433311
IQSEC1,8.830219055,0.825318984,0.695399675,0.126780528,0.216960725
LIMD1,10.73753284,0.330409866,0.57656654,0.490206929,0.605518764
TM4SF19,45.77177002,0.685675646,0.306592039,0.018916249,0.046358415
DGKQ,36.45500494,0.648829729,0.389826294,0.07291352,0.139964748
SNCA,23.99500172,0.46047079,0.446267268,0.251291388,0.366665736
LHFPL2,27.97858015,0.606339225,0.391391335,0.09280533,0.168959572
TPBG,61.7685691,-0.108470554,0.277729667,0.683894587,0.772276907
RBAK,29.97723638,0.37105139,0.387626003,0.302210684,0.421050725
DOCK11,5.988797803,0.872898646,0.846460766,0.140412008,0.235313411
MFHAS1,15.28188431,-0.46100935,0.530080416,0.310043243,0.428846022
TACC1,9.515882938,0.711135769,0.653612182,0.171801707,0.273740164
VLDLR,11.3141142,-0.315773804,0.590684131,0.512483547,0.625256206
MED22,28.78127741,0.603142837,0.390779109,0.094327147,0.171075651
NACC2,18.02903873,-0.209658564,0.502198868,0.631599468,0.729286256
ADM,135.4112431,0.515961202,0.195886771,0.007241772,0.020328815
TMCO3,27.64610599,0.561460236,0.407351061,0.141352793,0.236387365
SEC24D,18.11122227,0.122713656,0.463292775,0.768168151,0.83893008
TMEM263,18.83448142,0.582868556,0.49884399,0.181726808,0.286216612
PDK1,7.939179491,0.084850303,0.661405552,0.866266837,0.910470856
PLOD2,25.71058571,0.197999951,0.47436433,0.638334456,0.734942056
RASSF3,13.37955909,-0.872459741,0.640007444,0.092129552,0.167950834
LPCAT1,21.41220626,-0.148293907,0.422557159,0.698374538,0.783669591
KCTD15,40.69422044,0.105024233,0.339982232,0.744206897,0.818005191
UCHL1,4.955191456,-0.175784789,0.806524353,0.729470276,0.806044504
TRIM11,24.85438563,0.804110753,0.427571505,0.038503547,0.08369018
RAB6B,7.053332064,0.150276866,0.718905629,0.766885998,0.837927694
ZKSCAN2,6.724555086,1.078509788,0.83265901,0.075787097,0.144217036
WHAMM,25.6568306,0.620295151,0.416195675,0.102664336,0.183163263
PTPDC1,11.01183956,0.214638705,0.558735322,0.652147281,0.745867104
DZIP1L,1.987900667,0.590571837,1.146696933,0.241834188,0.355714325
GDPD5,2.253516217,1.008663621,1.473710583,0.08694079,0.160764157
GPAT4,36.9488379,0.520049613,0.346534858,0.109551813,0.192858148
SPATA2L,12.86825501,-0.03220208,0.557323527,0.944621659,0.963764759
CDC42SE2,25.36589546,-0.297556728,0.40365476,0.421779773,0.541762421
ACE,2.190731213,0.239651583,1.012900692,0.710691792,0.792721204
CTBP1,39.02648757,0.226118215,0.340574853,0.481442273,0.597580803
SLC37A1,4.186605948,1.042941701,1.04181429,0.105434452,0.186921305
CBS,2.202664839,1.684023863,2.261308388,0.031930134,0.071694735
VAV2,20.30469094,-0.040990538,0.431270226,0.915740182,0.945692595
LEMD2,42.08455092,0.69149445,0.331077967,0.027204582,0.062706403
SDC3,30.42663147,0.099002597,0.3821598,0.781372953,0.848382907
SYNC,9.195295788,-0.565001904,0.691382918,0.284036958,0.401856677
FLVCR1,8.40461879,0.74016647,0.722983937,0.17672165,0.280191746
TFB2M,43.4256394,0.672412823,0.33680163,0.034053546,0.075492199
EIF5A2,11.80879278,0.497597648,0.602314421,0.312154218,0.430988315
ATXN7,36.87882393,0.995122573,0.350294907,0.002506675,0.00815467
PPM1M,4.345308058,0.254344258,0.777505422,0.622193046,0.721534793
SAP30,17.24189872,0.408262447,0.519793983,0.363311182,0.484040771
CASP3,75.85240097,0.42766263,0.244951894,0.07171673,0.138070714
MED30,40.00495974,0.940838431,0.364807548,0.005759191,0.016724924
OSGIN2,28.31840361,-0.368685076,0.40904071,0.32404107,0.443056253
SLC4A2,33.41724317,0.009074353,0.361731963,0.978431171,0.98426649
FAM219A,52.24217749,0.554756277,0.291915896,0.047483869,0.099044346
CFL2,13.54459568,-0.087178142,0.523983361,0.84537777,0.894785491
EML5,4.480885752,1.747190992,1.150034123,0.024946599,0.058290394
MOAP1,63.45632021,0.511436879,0.27867951,0.055830496,0.112788882
ZNF319,14.88289547,-0.084146131,0.53649244,0.853283738,0.900460012
RSKR,10.12121814,0.424350372,0.636458598,0.400128992,0.520895448
TP53I13,20.73404446,0.189705542,0.460838033,0.634534712,0.731666028
KIFC2,132.7409597,0.911868146,0.200199586,3.31E-06,2.00E-05
FTH1,987.4665147,-0.75566972,0.093797145,5.96E-16,9.35E-15
LTBP3,7.249162084,0.153864593,0.661937464,0.761002189,0.833214076
PAFAH1B2,55.36133666,0.298382279,0.289569769,0.281168043,0.399189198
DDIT4,1053.049988,-0.098124606,0.106766059,0.354597181,0.475170299
PXK,19.05477113,0.045716314,0.466372956,0.912565856,0.943952819
BMP1,36.80229931,0.650724283,0.347648783,0.046020124,0.096545715
PTPN9,14.88880903,-0.294384348,0.519342881,0.510074919,0.622868231
PLEKHA2,16.56101722,-0.451686878,0.507016758,0.304349275,0.423133185
AGPAT2,84.26169248,-0.250493311,0.259254282,0.316732259,0.435538201
CSGALNACT2,37.82305374,0.412752935,0.359932932,0.219342646,0.330667306
TRIM56,12.81960513,0.079681691,0.519363643,0.86088289,0.906745831
KLF13,69.85599066,-0.403445379,0.268123376,0.117908767,0.20444038
ZNF778,12.39523508,0.949251679,0.621959183,0.064343078,0.126364892
ZNF282,48.87815119,0.344411792,0.29995344,0.229507277,0.341771924
KRT8,52.29216016,0.684510365,0.345886856,0.035141528,0.077567672
RNF34,38.82423652,0.38156731,0.335497717,0.228229523,0.340493775
TANC2,19.01092846,0.818876762,0.475890341,0.054045399,0.109777232
ZNF160,28.40315395,0.81831373,0.399307996,0.026074741,0.060475869
CDC42BPG,41.91902597,0.522092107,0.332934477,0.097425472,0.175518475
FAM241B,16.50087127,0.256762335,0.603099609,0.599066948,0.701435931
CHD7,20.31972862,0.547998057,0.444130391,0.162861325,0.263017704
DLK2,12.81985345,0.178612659,0.601141203,0.712719784,0.794277075
ENC1,32.6253809,0.866196422,0.373206925,0.012517499,0.032519104
RGS19,16.20575723,-0.363736733,0.5001607,0.40242115,0.522885216
SYNPO,11.12905732,0.545305657,0.579071041,0.257926276,0.374159845
MUS81,15.45833001,0.151838345,0.483527641,0.722603305,0.80127968
MAP3K11,22.81234419,0.779092727,0.447366034,0.052962675,0.108023192
PLK3,30.70458517,0.620508554,0.394755745,0.087661826,0.161750661
HOXB2,14.80301439,0.791277727,0.544095177,0.089569919,0.164367685
TNK1,15.66011603,0.015875594,0.493320303,0.972140717,0.981098574
GOLT1A,5.926617757,1.024887748,0.954712133,0.103413269,0.1841661
DENND6A,30.63918952,0.407883837,0.404588485,0.271878817,0.389729684
CTBP2,27.23486745,0.212919937,0.39262949,0.556819637,0.665463843
CCDC57,7.705765715,1.049127435,0.795013388,0.076306945,0.144966388
BNIP3,37.90264229,-0.355059067,0.362673566,0.294171049,0.412389321
EID2B,2.759229245,1.026368811,1.324888258,0.085738439,0.158988236
FUT2,29.11561452,0.011191569,0.40671406,0.976973446,0.983960995
DEAF1,23.10444326,0.785614508,0.4320659,0.044996548,0.094787415
PHETA2,11.05633187,0.103104621,0.563043577,0.82785546,0.880493668
TGIF1,34.24163591,0.246502442,0.354705699,0.458819474,0.576658355
MIEF2,22.98378584,0.736724961,0.450356209,0.068724407,0.133351634
ERICH5,6.019431968,-0.473451279,0.861425176,0.379086955,0.500660348
ZNF354B,11.56137462,0.266611785,0.57435546,0.575674881,0.680513394
ZNF664,88.18147116,0.376794535,0.233952247,0.098229793,0.176782883
CUEDC1,10.71686476,0.394567677,0.569901986,0.405022341,0.525496288
FKRP,16.95810297,0.872202048,0.517715991,0.053057031,0.108167681
TLCD5,7.542654494,1.46740756,0.955007629,0.033377903,0.074340713
MEX3D,19.9540102,0.285668461,0.453821011,0.48269257,0.598808829
CLDN7,66.86807708,0.535800106,0.304738813,0.065109654,0.127575354
CCDC149,4.569746221,0.691117774,0.904467391,0.229289629,0.341595259
TNRC18,27.2619946,-0.031421711,0.390145891,0.929527242,0.954354285
CRIP2,14.01849264,0.379037076,0.565154145,0.422558698,0.542548383
PRR36,3.127267311,0.494000712,0.988260762,0.298550123,0.417003208
BCOR,14.78989091,0.208298262,0.516128079,0.638467918,0.735034392
CMTM4,43.41031641,0.688685784,0.363825954,0.042562327,0.090669976
AC138969.1,7.337011569,1.132729428,0.875273791,0.070697031,0.136507489
PTP4A2,77.72446878,0.155722586,0.251863813,0.525207629,0.63717497
AP001062.1,7.173240453,1.270498021,1.022893121,0.063911112,0.125655128
PTP4A3,5.038795374,1.503206335,1.458028447,0.043445431,0.092152929
IFNE,7.133398333,1.300380294,0.936489524,0.048368259,0.100624193
NRBP2,58.39204446,0.75655572,0.297636846,0.007689439,0.02142279
L3MBTL1,5.754122893,1.329235703,0.978772802,0.04955436,0.102541635
ZNF284,9.788494162,0.333756761,0.618234304,0.50088687,0.614967865
ZNF397,17.23465707,0.705544368,0.488183567,0.10107233,0.180954612
TNFRSF18,7.716314057,-0.305022652,0.73045254,0.561326266,0.669458341
SHTN1,31.4353443,0.979967067,0.379638943,0.005482399,0.016035841
EPOR,4.548089945,0.662063612,0.913089758,0.243412005,0.357501668
SPRY4,25.7056224,0.494636145,0.406255401,0.184081299,0.288837057
PEAR1,7.030186056,0.725860979,0.755014812,0.192171928,0.298477501
WNT7B,13.41044864,-0.129047315,0.543625146,0.778339244,0.846087559
NOXA1,11.14046973,0.747711308,0.611050901,0.135436521,0.228738708
PAX8-AS1,21.18003245,0.947306402,0.45955136,0.021765292,0.05213696
TDRD7,20.79486457,0.020143847,0.436779725,0.959956454,0.973500813
PPP1R26,29.67715895,0.421604424,0.410313738,0.260472671,0.377219316
SLC6A9,14.5827926,-0.395159382,0.547282298,0.393371279,0.514162119
MAN2A2,18.45448256,0.564595307,0.507998725,0.201291457,0.308990224
HRH1,31.55402032,0.504878006,0.384361114,0.155802083,0.254295534
ZFP28,6.777486549,0.866226188,0.803973274,0.135803026,0.229136207
PDLIM7,63.65752394,0.807477858,0.273688363,0.002159311,0.007144209
FUT11,13.9864603,0.090641945,0.567755984,0.847508094,0.896558965
PCNX3,45.22214738,0.857242407,0.323891738,0.005143733,0.015190138
NOL4L,7.343839116,1.520956866,1.0296025,0.036050803,0.079308318
ZNF251,19.16324191,0.043937417,0.472621626,0.917064687,0.946488122
CARD11,9.334740718,0.658333741,0.647504813,0.202186608,0.310134141
GFPT1,52.24134108,0.409039329,0.310113673,0.165971562,0.267024305
TXNRD1,240.6558654,0.704402984,0.19087381,0.000172979,0.000754223
ZNF587,18.62414978,0.981846981,0.489742548,0.023772335,0.056030439
NBR2,14.48188199,1.153749936,0.597758535,0.022318457,0.053231025
KLHL9,46.38901001,0.389216234,0.311969315,0.190377811,0.296425175
ANKRD13B,11.53504006,0.418065365,0.59744808,0.392013254,0.512775631
CDC42BPB,103.340673,0.370754576,0.207675694,0.068207625,0.132722113
PLXNB3,11.33778173,0.803211901,0.636096379,0.119007192,0.205827704
FAM169A,17.31331767,0.563363792,0.51057996,0.204179166,0.312398402
SMC5,29.79885158,0.92815432,0.39655843,0.011182885,0.029518709
RASGEF1A,6.535376976,0.546228219,0.775672898,0.315141617,0.434157364
INF2,32.57591994,0.039708701,0.37865428,0.908651809,0.941891007
RPA4,3.365508794,1.242658348,1.9996579,0.036338719,0.079762106
ZDBF2,8.399269043,1.090444093,0.762146905,0.061306329,0.121456091
SPANXN5,3.155158772,0.652213599,1.222193931,0.155906542,0.254319011
MICA,51.92645249,0.472921424,0.311284801,0.110171915,0.193628683
ZNF805,7.797960309,1.195227965,0.772362692,0.044056166,0.093219119
TRIM27,20.68610872,0.201579092,0.441845938,0.613408624,0.713746965
SLFN12L,2.135273071,0.732073566,1.246384506,0.157455193,0.25613047
ITPRIPL2,14.18494547,0.019658288,0.539843581,0.966542483,0.978095349
SIPA1,11.97017631,0.900370754,0.649689382,0.086457941,0.160042868
KCTD11,110.539519,-0.143626444,0.218151986,0.491327833,0.606397275
MYL5,8.489730036,1.237748743,0.808051539,0.043059014,0.091473891
NPEPL1,19.21551474,0.626941065,0.481985735,0.141167251,0.236240621
LINC00571,5.051671656,1.408067951,1.145623336,0.050465064,0.103974005
AL391427.1,14.41644797,1.55121462,1.446493847,0.040326299,0.086763786
AL590617.2,10.89638603,0.040548017,0.596982138,0.932979074,0.95644688
SLC16A1-AS1,4.049793713,0.671935907,0.91008804,0.238878171,0.352644284
HSBP1L1,76.58987284,0.462917709,0.251134896,0.057277391,0.115256343
SLC25A25-AS1,3.980888193,0.861196227,0.976010989,0.155978332,0.254372605
AL021392.1,2.44125215,-0.025991748,1.015595638,0.961586906,0.974724497
AL109615.3,2.416703814,0.74340181,1.25323384,0.153495873,0.25160269
AL357079.1,4.45224147,0.896674795,1.06021462,0.147437125,0.243872986
SNHG3,38.44556804,0.702065452,0.341557483,0.028919799,0.066009466
ARFGAP3,63.61172617,0.183508772,0.28790001,0.507179547,0.620540629
DBNDD2,84.15013464,0.173986134,0.246421745,0.470662586,0.587767056
MIR210HG,22.52429524,-0.966348424,0.551047799,0.040755098,0.087400211
NOP14-AS1,24.52689816,0.751191436,0.455295175,0.065831098,0.128787802
HOXC-AS2,1.987507401,0.631729084,1.16513026,0.222783692,0.334611988
LINC02381,10.20804456,0.422529397,0.668416648,0.411350687,0.531719696
SHLD3,11.88620825,0.391168144,0.582678616,0.41637433,0.536955963
TMEM200B,4.174218823,0.227505101,0.828844502,0.646542725,0.741485049
C1orf210,53.65295845,-0.143586106,0.299220567,0.612681433,0.713081199
AP001453.2,19.91196813,0.272676476,0.470598342,0.514628155,0.627373545
