"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSG00000000003",6.79756881531215,-1.20433364915334,0.744238937421426,0.0360880522356936,0.0793265029531735,"TSPAN6"
"ENSG00000000419",203.640310491369,0.980053843058325,0.173835918589706,1.02032050623548e-08,8.56473417642923e-08,"DPM1"
"ENSG00000000457",12.7137683134643,0.263276325971937,0.496252216231031,0.545679920913707,0.655568780958303,"SCYL3"
"ENSG00000000460",5.6049795733148,0.282627275907188,0.667087757829705,0.581393373392889,0.685453101479869,"C1orf112"
"ENSG00000001036",17.1144793570355,-1.22173945171661,0.517654429627845,0.00723214674855906,0.0203059257640112,"FUCA2"
"ENSG00000001084",54.1729202571063,-0.145661718878745,0.267040582846425,0.568586952969589,0.674934428436461,"GCLC"
"ENSG00000001167",59.4658190221881,1.13033399388739,0.287986279284045,4.28736876228965e-05,0.000212661727156564,"NFYA"
"ENSG00000001460",7.71630182122744,-0.439785382010625,0.620940510998527,0.376240552124205,0.497567764189173,"STPG1"
"ENSG00000001461",10.5242656515289,-0.91374954760508,0.580607277771684,0.0607349994409389,0.120509416575838,"NIPAL3"
"ENSG00000001497",21.9810785756794,-0.803733659103628,0.403872166345057,0.0297975248602342,0.067688204620779,"LAS1L"
"ENSG00000001617",43.2852067833556,-1.79539265222382,0.323617210449819,7.26423784110342e-09,6.17281294379477e-08,"SEMA3F"
"ENSG00000001629",50.8081541358292,-0.163884622664924,0.287143881129786,0.548990262925688,0.658559251423374,"ANKIB1"
"ENSG00000001630",131.526984615169,-0.361178487314889,0.173499252915447,0.0339305559389907,0.0753322244558868,"CYP51A1"
"ENSG00000001631",21.9995719039505,0.0357303076686547,0.404672004882446,0.923753664211706,0.95068651413411,"KRIT1"
"ENSG00000002016",9.80166529527933,0.769891044322196,0.606449210779283,0.123176531856349,0.21187068162356,"RAD52"
"ENSG00000002330",34.7954422974143,-1.4047116690117,0.391815064998362,0.00011898248244634,0.000535887159843175,"BAD"
"ENSG00000002549",19.7561801112173,-1.37443195960379,0.460789647354847,0.000987053045829946,0.00360257393082604,"LAP3"
"ENSG00000002586",29.5519305720608,-0.681505761052497,0.3779710923344,0.0512979128375042,0.105359606661342,"CD99"
"ENSG00000002587",0.706052427661256,-0.239503601954186,0.982465069222457,0.513612037089345,NA,"HS3ST1"
"ENSG00000002822",8.17310224023894,-0.460361810722065,0.595988347710116,0.342923318759854,0.46329586858899,"MAD1L1"
"ENSG00000002834",60.0996214701626,-0.592437007492974,0.263637983649411,0.0195286935075512,0.0475930767232464,"LASP1"
"ENSG00000002919",27.5499907040012,0.141038267388222,0.356389540937392,0.673944420502329,0.764335388143667,"SNX11"
"ENSG00000003056",114.059065604612,0.342194923733351,0.198373645881833,0.0784010654300247,0.147999472317507,"M6PR"
"ENSG00000003096",0.706481453593194,-0.261915532777096,1.00184011087187,0.440744175896084,NA,"KLHL13"
"ENSG00000003137",3.11187611723012,0.689949447452066,0.957962931301823,0.224414125303406,0.336109716647167,"CYP26B1"
"ENSG00000003147",6.99278663263318,-0.569084928625319,0.678061780094176,0.274559314586575,0.392376760843009,"ICA1"
"ENSG00000003249",9.2796454787406,-1.30640352528081,0.705366394417049,0.021249376865926,0.0511408093389919,"DBNDD1"
"ENSG00000003393",37.9799743167356,1.18474676177555,0.350078665945261,0.000325799232338408,0.0013361157225171,"ALS2"
"ENSG00000003400",4.22291827278933,-0.832851301668085,0.823848741715548,0.147071308233677,0.243384584917225,"CASP10"
"ENSG00000003402",15.2559263406387,-0.145748781240464,0.450751419553851,0.716699219209028,0.79678970535641,"CFLAR"
"ENSG00000003436",0.812534703979714,0.485266151286779,1.10611553187543,0.301105727785729,NA,"TFPI"
"ENSG00000003509",18.7738056041124,0.0614845250884168,0.441192837537645,0.878728463423767,0.919994901392002,"NDUFAF7"
"ENSG00000003756",329.452065709463,4.42028211308029,0.196902720041566,4.02985553821026e-112,6.62047695563115e-110,"RBM5"
"ENSG00000004059",164.947658527375,-0.430327809648375,0.167294646542936,0.00908827502664863,0.0248058139572293,"ARF5"
"ENSG00000004139",1.25231071476072,1.00878251418564,1.56091373662035,0.0706612793365749,NA,"SARM1"
"ENSG00000004142",120.10237738997,-0.854432502683133,0.201433488937144,1.44520490246603e-05,7.83249257516068e-05,"POLDIP2"
"ENSG00000004399",1.31537093701075,0.403450755590873,1.0596731928176,0.428674305174872,NA,"PLXND1"
"ENSG00000004455",35.1765893026327,-1.11443803417172,0.344008455747598,0.000579058594370385,0.0022302563779825,"AK2"
"ENSG00000004478",463.211847561009,1.38208510941759,0.112766091516907,6.82150704568856e-35,2.66676479406522e-33,"FKBP4"
"ENSG00000004487",73.9239629927235,0.126707799631473,0.23855386225825,0.585637093565932,0.689278626115979,"KDM1A"
"ENSG00000004534",54.7572265131917,1.09142924771353,0.283310340321133,6.09516158698308e-05,0.000293077456098838,"RBM6"
"ENSG00000004660",4.64874352322465,-0.144269699993643,0.730423025505276,0.778519559315594,0.846150265303237,"CAMKK1"
"ENSG00000004700",535.561625345351,4.37463966142213,0.169954527120519,1.00720115880208e-146,2.43848701604715e-144,"RECQL"
"ENSG00000004766",14.2991312332164,-0.286486015240914,0.479386686649199,0.496637686443741,0.61112833858438,"VPS50"
"ENSG00000004776",0.444379942094189,0.161984711482392,1.02826081828158,0.589586658591089,NA,"HSPB6"
"ENSG00000004777",8.91815020148677,2.7278905534245,1.05894422975409,0.00175051998750131,0.00596473477222667,"ARHGAP33"
