"gene_id","gene_name"
"ENSG00000081277","PKP1"
"ENSG00000084207","GSTP1"
"ENSG00000099194","SCD"
"ENSG00000111640","GAPDH"
"ENSG00000128422","KRT17"
"ENSG00000137440","FGFBP1"
"ENSG00000142669","SH3BGRL3"
"ENSG00000163191","S100A11"
"ENSG00000167768","KRT1"
"ENSG00000170465","KRT6C"
"ENSG00000175793","SFN"
"ENSG00000178934","LGALS7B"
"ENSG00000185479","KRT6B"
"ENSG00000186081","KRT5"
"ENSG00000186395","KRT10"
"ENSG00000186832","KRT16"
"ENSG00000186847","KRT14"
"ENSG00000188643","S100A16"
"ENSG00000197747","S100A10"
"ENSG00000205420","KRT6A"
