gene_id,gene_name
ENSG00000001036,FUCA2
ENSG00000001617,SEMA3F
ENSG00000002330,BAD
ENSG00000002549,LAP3
ENSG00000004455,AK2
ENSG00000004779,NDUFAB1
ENSG00000004864,SLC25A13
ENSG00000005020,SKAP2
ENSG00000005022,SLC25A5
ENSG00000005243,COPZ2
ENSG00000005469,CROT
ENSG00000006007,GDE1
ENSG00000006555,TTC22
ENSG00000006625,GGCT
ENSG00000006744,ELAC2
ENSG00000007080,CCDC124
ENSG00000007520,TSR3
ENSG00000008282,SYPL1
ENSG00000008283,CYB561
ENSG00000008382,MPND
ENSG00000008394,MGST1
ENSG00000008441,NFIX
ENSG00000010278,CD9
ENSG00000010438,PRSS3
ENSG00000011426,ANLN
ENSG00000011638,TMEM159
ENSG00000012211,PRICKLE3
ENSG00000013364,MVP
ENSG00000013503,POLR3B
ENSG00000013563,DNASE1L1
ENSG00000013583,HEBP1
ENSG00000014216,CAPN1
ENSG00000014641,MDH1
ENSG00000014824,SLC30A9
ENSG00000014919,COX15
ENSG00000016402,IL20RA
ENSG00000017483,SLC38A5
ENSG00000017797,RALBP1
ENSG00000018236,CNTN1
ENSG00000018510,AGPS
ENSG00000023191,RNH1
ENSG00000023697,DERA
ENSG00000023892,DEF6
ENSG00000024422,EHD2
ENSG00000026508,CD44
ENSG00000027001,MIPEP
ENSG00000027697,IFNGR1
ENSG00000030110,BAK1
ENSG00000030582,GRN
ENSG00000033011,ALG1
ENSG00000034510,TMSB10
ENSG00000034693,PEX3
ENSG00000035141,FAM136A
ENSG00000035687,ADSS
ENSG00000037757,MRI1
ENSG00000039068,CDH1
ENSG00000041353,RAB27B
ENSG00000042445,RETSAT
ENSG00000042493,CAPG
ENSG00000042753,AP2S1
ENSG00000047849,MAP4
ENSG00000047932,GOPC
ENSG00000049245,VAMP3
ENSG00000049541,RFC2
ENSG00000050130,JKAMP
ENSG00000050165,DKK3
ENSG00000050393,MCUR1
ENSG00000050405,LIMA1
ENSG00000051382,PIK3CB
ENSG00000051596,THOC3
ENSG00000052723,SIKE1
ENSG00000053254,FOXN3
ENSG00000053371,AKR7A2
ENSG00000054148,PHPT1
ENSG00000054277,OPN3
ENSG00000055950,MRPL43
ENSG00000056050,HPF1
ENSG00000057149,SERPINB3
ENSG00000057608,GDI2
ENSG00000057704,TMCC3
ENSG00000058799,YIPF1
ENSG00000058804,NDC1
ENSG00000059573,ALDH18A1
ENSG00000059588,TARBP1
ENSG00000060558,GNA15
ENSG00000061794,MRPS35
ENSG00000062038,CDH3
ENSG00000062282,DGAT2
ENSG00000062582,MRPS24
ENSG00000063660,GPC1
ENSG00000064102,INTS13
ENSG00000064115,TM7SF3
ENSG00000064195,DLX3
ENSG00000064490,RFXANK
ENSG00000064652,SNX24
ENSG00000064666,CNN2
ENSG00000065183,WDR3
ENSG00000065427,KARS
ENSG00000065600,PACC1
ENSG00000065833,ME1
ENSG00000066455,GOLGA5
ENSG00000066583,ISOC1
ENSG00000067182,TNFRSF1A
ENSG00000067225,PKM
ENSG00000067560,RHOA
ENSG00000067704,IARS2
ENSG00000068078,FGFR3
ENSG00000068489,PRR11
ENSG00000068697,LAPTM4A
ENSG00000068784,SRBD1
ENSG00000068912,ERLEC1
ENSG00000069275,NUCKS1
ENSG00000069812,HES2
ENSG00000069849,ATP1B3
ENSG00000070087,PFN2
ENSG00000070214,SLC44A1
ENSG00000070413,DGCR2
ENSG00000070501,POLB
ENSG00000070540,WIPI1
ENSG00000070718,AP3M2
ENSG00000070731,ST6GALNAC2
ENSG00000070785,EIF2B3
ENSG00000071051,NCK2
ENSG00000071082,RPL31
ENSG00000071967,CYBRD1
ENSG00000071994,PDCD2
ENSG00000072210,ALDH3A2
ENSG00000072506,HSD17B10
ENSG00000073282,TP63
ENSG00000073969,NSF
ENSG00000074071,MRPS34
ENSG00000074201,CLNS1A
ENSG00000074410,CA12
ENSG00000074800,ENO1
ENSG00000075142,SRI
ENSG00000075188,NUP37
ENSG00000075239,ACAT1
ENSG00000075336,TIMM21
ENSG00000075618,FSCN1
ENSG00000075624,ACTB
ENSG00000075651,PLD1
ENSG00000075945,KIFAP3
ENSG00000076003,MCM6
ENSG00000076248,UNG
ENSG00000076258,FMO4
ENSG00000076554,TPD52
ENSG00000077152,UBE2T
ENSG00000077348,EXOSC5
ENSG00000077514,POLD3
ENSG00000077549,CAPZB
ENSG00000077713,SLC25A43
ENSG00000078018,MAP2
ENSG00000078114,NEBL
ENSG00000078399,HOXA9
ENSG00000078596,ITM2A
ENSG00000078668,VDAC3
ENSG00000079246,XRCC5
ENSG00000079459,FDFT1
ENSG00000079462,PAFAH1B3
ENSG00000079616,KIF22
ENSG00000079739,PGM1
ENSG00000079785,DDX1
ENSG00000079999,KEAP1
ENSG00000080546,SESN1
ENSG00000081177,EXD2
ENSG00000081277,PKP1
ENSG00000081307,UBA5
ENSG00000081870,HSPB11
ENSG00000082213,C5orf22
ENSG00000082438,COBLL1
ENSG00000082458,DLG3
ENSG00000082641,NFE2L1
ENSG00000082781,ITGB5
ENSG00000083093,PALB2
ENSG00000083720,OXCT1
ENSG00000083845,RPS5
ENSG00000083857,FAT1
ENSG00000084090,STARD7
ENSG00000084092,NOA1
ENSG00000084207,GSTP1
ENSG00000084733,RAB10
ENSG00000084754,HADHA
ENSG00000085117,CD82
ENSG00000085365,SCAMP1
ENSG00000085377,PREP
ENSG00000085449,WDFY1
ENSG00000085491,SLC25A24
ENSG00000085719,CPNE3
ENSG00000085760,MTIF2
ENSG00000085871,MGST2
ENSG00000086232,EIF2AK1
ENSG00000086570,FAT2
ENSG00000087302,RTRAF
ENSG00000087502,ERGIC2
ENSG00000087842,PIR
ENSG00000088002,SULT2B1
ENSG00000088205,DDX18
ENSG00000088298,EDEM2
ENSG00000088832,FKBP1A
ENSG00000088986,DYNLL1
ENSG00000089050,RBBP9
ENSG00000089063,TMEM230
ENSG00000089127,OAS1
ENSG00000089157,RPLP0
ENSG00000089220,PEBP1
ENSG00000089248,ERP29
ENSG00000089356,FXYD3
ENSG00000089876,DHX32
ENSG00000090013,BLVRB
ENSG00000090263,MRPS33
ENSG00000090266,NDUFB2
ENSG00000090661,CERS4
ENSG00000090776,EFNB1
ENSG00000091136,LAMB1
ENSG00000092068,SLC7A8
ENSG00000092295,TGM1
ENSG00000092330,TINF2
ENSG00000092621,PHGDH
ENSG00000093010,COMT
ENSG00000093144,ECHDC1
ENSG00000094796,KRT31
ENSG00000095203,EPB41L4B
ENSG00000095585,BLNK
ENSG00000096060,FKBP5
ENSG00000096063,SRPK1
ENSG00000096696,DSP
ENSG00000097021,ACOT7
ENSG00000097033,SH3GLB1
ENSG00000099194,SCD
ENSG00000099204,ABLIM1
ENSG00000099219,ERMP1
ENSG00000099246,RAB18
ENSG00000099260,PALMD
ENSG00000099284,H2AFY2
ENSG00000099337,KCNK6
ENSG00000099377,HSD3B7
ENSG00000099624,ATP5F1D
ENSG00000099785,2-Mar
ENSG00000099795,NDUFB7
ENSG00000099800,TIMM13
ENSG00000099821,POLRMT
ENSG00000099901,RANBP1
ENSG00000100003,SEC14L2
ENSG00000100014,SPECC1L
ENSG00000100034,PPM1F
ENSG00000100075,SLC25A1
ENSG00000100092,SH3BP1
ENSG00000100097,LGALS1
ENSG00000100100,PIK3IP1
ENSG00000100104,SRRD
ENSG00000100129,EIF3L
ENSG00000100138,SNU13
ENSG00000100139,MICALL1
ENSG00000100211,CBY1
ENSG00000100216,TOMM22
ENSG00000100246,DNAL4
ENSG00000100294,MCAT
ENSG00000100300,TSPO
ENSG00000100304,TTLL12
ENSG00000100316,RPL3
ENSG00000100347,SAMM50
ENSG00000100348,TXN2
ENSG00000100364,KIAA0930
ENSG00000100379,KCTD17
ENSG00000100413,POLR3H
ENSG00000100439,ABHD4
ENSG00000100442,FKBP3
ENSG00000100504,PYGL
ENSG00000100522,GNPNAT1
ENSG00000100528,CNIH1
ENSG00000100558,PLEK2
ENSG00000100567,PSMA3
ENSG00000100568,VTI1B
ENSG00000100612,DHRS7
ENSG00000100714,MTHFD1
ENSG00000100749,VRK1
ENSG00000100804,PSMB5
ENSG00000100823,APEX1
ENSG00000100842,EFS
ENSG00000100979,PLTP
ENSG00000101000,PROCR
ENSG00000101040,ZMYND8
ENSG00000101079,NDRG3
ENSG00000101084,RAB5IF
ENSG00000101182,PSMA7
ENSG00000101213,PTK6
ENSG00000101220,C20orf27
ENSG00000101346,POFUT1
ENSG00000101384,JAG1
ENSG00000101417,PXMP4
ENSG00000101439,CST3
ENSG00000101444,AHCY
ENSG00000101464,PIGU
ENSG00000101608,MYL12A
ENSG00000101911,PRPS2
ENSG00000101997,CCDC22
ENSG00000102007,PLP2
ENSG00000102024,PLS3
ENSG00000102054,RBBP7
ENSG00000102109,PCSK1N
ENSG00000102144,PGK1
ENSG00000102178,UBL4A
ENSG00000102241,HTATSF1
ENSG00000102243,VGLL1
ENSG00000102471,NDFIP2
ENSG00000102575,ACP5
ENSG00000102890,ELMO3
ENSG00000102921,N4BP1
ENSG00000103024,NME3
ENSG00000103044,HAS3
ENSG00000103067,ESRP2
ENSG00000103145,HCFC1R1
ENSG00000103152,MPG
ENSG00000103202,NME4
ENSG00000103260,METRN
ENSG00000103266,STUB1
ENSG00000103363,ELOB
ENSG00000103381,CPPED1
ENSG00000103415,HMOX2
ENSG00000103423,DNAJA3
ENSG00000103479,RBL2
ENSG00000103490,PYCARD
ENSG00000103502,CDIPT
ENSG00000103550,KNOP1
ENSG00000103569,AQP9
ENSG00000103769,RAB11A
ENSG00000104133,SPG11
ENSG00000104140,RHOV
ENSG00000104221,BRF2
ENSG00000104228,TRIM35
ENSG00000104267,CA2
ENSG00000104320,NBN
ENSG00000104325,DECR1
ENSG00000104332,SFRP1
ENSG00000104341,LAPTM4B
ENSG00000104361,NIPAL2
ENSG00000104412,EMC2
ENSG00000104413,ESRP1
ENSG00000104419,NDRG1
ENSG00000104442,ARMC1
ENSG00000104549,SQLE
ENSG00000104611,SH2D4A
ENSG00000104613,INTS10
ENSG00000104660,LEPROTL1
ENSG00000104738,MCM4
ENSG00000104763,ASAH1
ENSG00000104812,GYS1
ENSG00000104823,ECH1
ENSG00000104979,C19orf53
ENSG00000105131,EPHX3
ENSG00000105141,CASP14
ENSG00000105176,URI1
