"gene_id","gene_name"
"ENSG00000086061","DNAJA1"
"ENSG00000087074","PPP1R15A"
"ENSG00000096384","HSP90AB1"
"ENSG00000108654","DDX5"
"ENSG00000109971","HSPA8"
"ENSG00000120694","HSPH1"
"ENSG00000120738","EGR1"
"ENSG00000128272","ATF4"
"ENSG00000130066","SAT1"
"ENSG00000132002","DNAJB1"
"ENSG00000140403","DNAJA4"
"ENSG00000143384","MCL1"
"ENSG00000161011","SQSTM1"
"ENSG00000170315","UBB"
"ENSG00000170345","FOS"
"ENSG00000177606","JUN"
"ENSG00000198435","NRARP"
"ENSG00000204388","HSPA1B"
"ENSG00000204389","HSPA1A"
"ENSG00000273802","HIST1H2BG"
