"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000001167",59.4658190221881,1.13033399388739,0.287986279284045,4.28736876228965e-05,0.000212661727156564
"ENSG00000003393",37.9799743167356,1.18474676177555,0.350078665945261,0.000325799232338408,0.0013361157225171
"ENSG00000003756",329.452065709463,4.42028211308029,0.196902720041566,4.02985553821026e-112,6.62047695563115e-110
"NA",NA,NA,NA,NA,NA
"ENSG00000004478",463.211847561009,1.38208510941759,0.112766091516907,6.82150704568856e-35,2.66676479406522e-33
"ENSG00000004534",54.7572265131917,1.09142924771353,0.283310340321133,6.09516158698308e-05,0.000293077456098838
"ENSG00000004700",535.561625345351,4.37463966142213,0.169954527120519,1.00720115880208e-146,2.43848701604715e-144
"ENSG00000004777",8.91815020148677,2.7278905534245,1.05894422975409,0.00175051998750131,0.00596473477222667
"ENSG00000005001",72.7418581563756,3.72098798314743,0.35442767777184,1.67998896505765e-26,4.71013056389864e-25
"ENSG00000005007",106.896140982526,1.08370092248698,0.212764961393906,1.88015727266617e-07,1.36486956143046e-06
"ENSG00000005238",151.924085198622,2.00884045845137,0.197942715843501,8.35362537082046e-25,2.13086931824995e-23
"ENSG00000005339",84.6868742170062,2.40139060408726,0.276561404153323,8.00008998218986e-19,1.5061560948734e-17
"ENSG00000005483",59.7910446348461,1.63557953000893,0.298569803503976,1.36424082473792e-08,1.12936552977705e-07
"ENSG00000005513",16.8639966654017,5.53241957425612,2.27073419177074,1.45666303030867e-05,7.88311757578811e-05
"ENSG00000005889",34.3641527014179,2.04850531377449,0.41774616743713,2.18168457105784e-07,1.57464681383882e-06
"NA.1",NA,NA,NA,NA,NA
"ENSG00000006062",20.8641449516022,1.27771820235905,0.519789674104417,0.00548768572555945,0.0160445048755764
"ENSG00000006118",22.6282547073305,1.07709299232887,0.472316018254831,0.0106246254583278,0.0283159195297265
"ENSG00000006128",9.02077818209081,7.51654469099661,2.63791205611009,5.39606323278585e-07,3.65565403104785e-06
"ENSG00000006194",41.374098097587,1.60991656428932,0.350516187387102,1.37601596156509e-06,8.77496315600657e-06
"ENSG00000006327",979.184796857992,2.07512939917653,0.0977189577343572,9.70685257372578e-101,1.39536005747308e-98
"ENSG00000006432",44.5972757600941,1.47182918430099,0.332168413008664,3.34989088459738e-06,2.02490119174086e-05
"ENSG00000006453",99.6016904856885,1.16282230623585,0.224326141995885,1.06677223177814e-07,7.98776820322212e-07
"ENSG00000006652",132.635128619225,2.74436855221207,0.226858552641597,1.96219906543811e-34,7.54271507048634e-33
"ENSG00000007384",134.362460661816,2.82298209268021,0.250429266359688,3.40237558801899e-30,1.11262519229057e-28
"ENSG00000007392",42.9339584056534,1.40296862325746,0.347894958578134,2.06064179696635e-05,0.00010853762136693
"ENSG00000007545",43.6138282885592,1.65004069105254,0.365602380869125,1.94244802450438e-06,1.21678541707492e-05
"ENSG00000007944",28.4545501104121,1.91397608470686,0.453075547025515,5.75124066645277e-06,3.34318117931964e-05
"ENSG00000008128",35.1869000504728,2.22887742645415,0.416334689195522,1.81154714041429e-08,1.48188207099687e-07
"ENSG00000008256",62.6707034767527,1.03792389503295,0.259622729512977,3.49810602309388e-05,0.000176568628817467
"ENSG00000008294",162.440234640171,1.95779437642446,0.183361635851038,3.27902314726665e-27,9.6482983864136e-26
"ENSG00000008300",32.0287493636874,5.00446990720215,0.861331140242677,4.92244320275115e-09,4.23766164678514e-08
"ENSG00000008311",35.4706032961131,3.26146486510119,0.476254541723497,1.2495433015539e-12,1.51127936559543e-11
"ENSG00000008324",58.0677142475554,1.17014053066526,0.329627344836436,0.000179670192944283,0.000779700837305379
"ENSG00000008405",233.947132924236,6.36235609132746,0.390600815054649,1.96579554271837e-59,1.42778834155334e-57
"ENSG00000008516",117.562163286858,8.41193913012617,1.25851131898667,1.72037064785461e-13,2.235509881393e-12
"ENSG00000008517",63.7434191959779,6.76859879974602,0.97339578809234,1.7849358993187e-11,1.97056923284784e-10
"ENSG00000008735",20.4789682490627,1.10536576113509,0.482400074888418,0.0102358768436944,0.0274601672711864
"ENSG00000008838",43.2904446130238,1.07707492095571,0.320592021208279,0.00040306360660902,0.00161882356554263
"ENSG00000010244",181.53562320588,2.57279605834721,0.191053390615724,4.70215670792691e-42,2.24532050413119e-40
"NA.2",NA,NA,NA,NA,NA
"ENSG00000010310",17.0734613555689,1.64115633775147,0.54471810968581,0.000721642308385949,0.00272020318375474
"ENSG00000010322",67.7973759154637,1.75895087822802,0.279019743619357,8.41081146294743e-11,8.79312107489958e-10
"ENSG00000010379",2.35434241022028,2.8070375096823,2.82910345252116,0.0120394074178549,0.0314487644077982
"ENSG00000010810",47.0121226016578,1.38807406933427,0.337082159456112,1.48283480423891e-05,8.00904904050763e-05
"ENSG00000010818",62.179571104253,1.03043649705606,0.289089005403563,0.00019913303675872,0.000855286619131759
"ENSG00000011021",28.5523822039738,1.90575077122882,0.450791654599618,5.83906355879713e-06,3.38994855327725e-05
"ENSG00000011132",28.8436235716753,2.1799584519185,0.454366778700375,3.34791525188337e-07,2.35120765781122e-06
"ENSG00000011243",130.829323933759,1.59676002395741,0.206388353278759,3.30219414455639e-15,4.94791305047538e-14
"ENSG00000011275",79.4411785956578,1.85240308117631,0.289565204795223,4.36782863354061e-11,4.67256086378763e-10
"ENSG00000011304",239.975523595099,1.2409636517334,0.139365602999663,2.50477454714727e-19,4.87530165735294e-18
"ENSG00000011566",35.4395807226982,1.45161309369956,0.374281652221943,3.68564436275971e-05,0.000185154321827754
"ENSG00000012061",161.249830130619,1.62217560509181,0.177079670598516,1.67589635812344e-20,3.48829106215739e-19
"ENSG00000012660",130.437752705598,1.57366200025225,0.197688909694162,5.80601254603647e-16,9.12562336392976e-15
"ENSG00000012817",56.2400189710293,2.71661840086313,0.337180647328833,1.47819072177559e-16,2.43716032980921e-15
"ENSG00000013275",249.794364101654,1.1839918597956,0.152150293056153,3.46402433263141e-15,5.17914797294836e-14
"ENSG00000013441",612.979155167437,3.78101000540235,0.133696454373542,1.26720200979301e-176,4.16366374646276e-174
"ENSG00000013588",31.1733086523877,1.84560328564863,0.509379656339617,7.88251011140567e-05,0.000371054847626583
"ENSG00000013810",35.3868059998518,1.31237530802407,0.440189880088247,0.00115093886694021,0.00411582180973696
"ENSG00000015479",5.43675046720938,5.88167651139419,2.48045464167199,3.31299810886752e-05,0.000167900748815174
"ENSG00000019144",9.72068306677845,2.13875334965384,0.863504611644297,0.00267355323734782,0.00863139841966449
"ENSG00000020577",20.3458230687869,1.32012118106545,0.527128481861706,0.00459173614481454,0.0137931995643101
"ENSG00000021355",149.954964868002,1.43312171241587,0.237883397579846,6.60843472626156e-10,6.31991678602976e-09
"ENSG00000022840",174.210933271655,1.58408973433231,0.1747515657495,3.99550613868757e-20,8.18070989820304e-19
"ENSG00000023287",76.9495400888484,1.14314374239326,0.247552655711019,1.9345690465838e-06,1.2124002199299e-05
"ENSG00000023330",274.885420932347,1.65494174197399,0.150701508614384,1.47619573775632e-28,4.57786543394095e-27
"ENSG00000023445",7.69958929535134,1.8049609999056,1.04855591801087,0.0188206186148258,0.0461568396809304
"ENSG00000023902",10.4838515701836,2.834198940067,0.998535716952918,0.000926196616676896,0.00340295881526655
"ENSG00000023909",38.4068368260089,1.51756713441114,0.496727225396662,0.000772079233458692,0.00289058421642158
"ENSG00000024048",59.5938315109889,1.36906733454908,0.289601555285214,9.37859378412866e-07,6.10781473435467e-06
"ENSG00000025156",45.5617537128734,1.75854631231552,0.351165169011634,1.53034074585581e-07,1.12633078894988e-06
"ENSG00000025770",39.2871127029322,1.076233528256,0.37007925646237,0.00187228346351333,0.00632497228800097
"ENSG00000025772",168.339932292656,1.65483025725017,0.176636868170314,2.32183499810649e-21,5.10212149265439e-20
"ENSG00000026025",88.6990386322899,2.31064698480507,0.342902714556718,3.85352563984928e-12,4.47255288729353e-11
"ENSG00000026652",26.0142385858545,3.11040972961184,0.688182242388844,1.56335750546271e-06,9.90557097125135e-06
"ENSG00000026950",12.236871609103,2.16383948876132,0.76409688484383,0.000864239564952189,0.00319809235227514
"ENSG00000028277",6.39058622797505,2.48790771103912,1.48044797291859,0.00947047951189493,0.0257015963154671
"ENSG00000028839",25.7609209959214,1.29681249691362,0.443123388100241,0.00136642603980948,0.00479691664954741
"ENSG00000029363",64.9542778382945,1.01975052102808,0.261097222362545,5.24109435203273e-05,0.000254762599711348
"ENSG00000029364",73.4240216017072,1.21101771525195,0.25031242889957,6.12712245132978e-07,4.1205794263329e-06
"ENSG00000031003",15.7313235573938,1.14309610405492,0.557020623183894,0.0173872428283655,0.0431321141526953
"ENSG00000033030",35.0527019251787,1.62006970182335,0.391283546476182,1.06463047270702e-05,5.92415343683745e-05
"ENSG00000033178",40.9959479584356,1.45083440989069,0.340404685638722,7.40352748565549e-06,4.23584905895712e-05
"ENSG00000036257",57.1642709606438,1.25413510973131,0.287292694105709,5.61299916908549e-06,3.27523841578773e-05
"ENSG00000037042",31.7879979011751,1.04420616358725,0.427974755010105,0.00744360097451256,0.0208275939676142
