"","deseq_results_IIa_0.05$padj"
"1",0.0756770654419723
"2",8.14208316380979e-08
"3",0.648331710874349
"4",0.678343975946399
"5",0.0193038724708741
"6",0.667938703541062
"7",0.00020216733322949
"8",0.489284278679366
"9",0.115458985315994
"10",0.0645072159474278
"11",5.86819804417708e-08
"12",0.651429383079062
"13",0.0718343137234499
"14",0.948543511706989
"15",0.204680829011362
"16",0.000509442293477001
"17",0.00342479473902223
"18",0.100714953384498
"19",NA
"20",0.455044542296748
"21",0.0452844445842137
"22",0.759055361656082
"23",0.142154312178883
"24",NA
"25",0.327813039734482
"26",0.384125375713051
"27",0.0486595522960523
"28",0.00127018131621028
"29",0.235410992278868
"30",0.792855505612179
"31",NA
"32",0.917618300696999
"33",6.29377081021196e-110
"34",0.0235817009641225
"35",NA
"36",7.44597609373427e-05
"37",NA
"38",0.0021201980741125
"39",2.53516574879287e-33
"40",0.682263833628582
"41",0.000278614720765265
"42",0.842759146683826
"43",2.31815298286396e-144
"44",0.60357424490444
"45",NA
"46",0.00567038807803201
"47",0.000256990965293934
"48",NA
"49",NA
"50",0.00464505308376555
"51",0.851705681085467
"52",0.896701868554952
"53",NA
"54",0.000582392637786618
"55",0.876990528795744
"56",4.47769585998451e-25
"57",1.29751621568161e-06
"58",0.0438708508691205
"59",7.32038109432948e-34
"60",0.219315901065358
"61",NA
"62",0.0438782162577196
"63",0.543666938820771
"64",0.495718546796302
"65",0.150932058728781
"66",NA
"67",0.176776625053133
"68",0.598232296454154
"69",2.02571554971892e-23
"70",0.0119702261183987
"71",0.933856957575968
"72",1.43183056584378e-17
"73",0.76459315737669
"74",0.234111054579548
"75",0.00072751425709766
"76",1.073633796025e-07
"77",0.830814653051663
"78",7.49410286063509e-05
"79",0.0524774843288998
"80",0.539986988904022
"81",0.496771432209313
"82",0.00661920727146179
"83",0.303587979569265
"84",0.309916520743561
"85",1.49694141672112e-06
"86",0.0350410202593406
"87",NA
"88",1.41957391018398e-05
"89",0.0704386906726161
"90",NA
"91",NA
"92",0.923120731029276
"93",NA
"94",0.0152527434393251
"95",0.0269185904572813
"96",9.18684190778704e-05
"97",3.47525545168962e-06
"98",8.34193780026451e-06
"99",0.799528591776821
"100",NA
"101",1.32650207202821e-98
"102",1.92497671988756e-05
"103",7.47234400732948e-05
"104",7.5935892071066e-07
"105",0.131852572598552
"106",0.38818880037869
"107",NA
"108",9.35132547349617e-05
"109",0.766110893193828
"110",NA
"111",0.449989092111393
"112",3.0606316705665e-09
"113",0.934322556926911
"114",7.17049847896451e-33
"115",0.943576100151929
"116",0.208166321254299
"117",0.0147031426204562
"118",0.398141461592136
"119",NA
"120",0.000788293961932041
"121",NA
"122",0.308149934379553
"123",0.0807869340043544
"124",0.246519268832729
"125",0.328728178445581
"126",0.174177812656909
"127",0.835869483894942
"128",8.54689291445342e-05
"129",0.0197024953737803
"130",4.80481108263736e-05
"131",0.591407736330956
"132",0.203819314522706
"133",0.557761328402984
"134",0.0915853229796942
"135",1.05771955780145e-28
"136",0.000103181525703823
"137",0.2419955808721
"138",6.810621125731e-13
"139",0.362190213473581
"140",1.15673970192796e-05
"141",0.00225866318355281
"142",0.526221125079909
"143",3.17820245590539e-05
"144",NA
"145",0.33484091513959
"146",0.06972951752787
"147",0.894187700625081
"148",0.931287089570868
"149",1.40875441227593e-07
"150",0.851589388937996
"151",0.00016785535083017
"152",8.04313102966355e-10
"153",0.00678769913386633
"154",9.1721758356058e-26
"155",4.02854225682423e-08
"156",1.43670101429322e-11
"157",0.350460742121085
"158",0.000741224295986179
"159",0.0460538991018596
"160",1.77594507353327e-05
"161",1.35733009078538e-57
"162",0.00180068756455115
