gene_id,log2FoldChange
ENSG00000000419,0.980053843
ENSG00000001036,-1.221739452
ENSG00000001167,1.130333994
ENSG00000001617,-1.795392652
ENSG00000002330,-1.404711669
ENSG00000002549,-1.37443196
NA,NA
ENSG00000002834,-0.592437007
NA.1,NA
ENSG00000003393,1.184746762
NA.2,NA
ENSG00000003756,4.420282113
ENSG00000004059,-0.43032781
NA.3,NA
ENSG00000004142,-0.854432503
NA.4,NA
ENSG00000004455,-1.114438034
ENSG00000004478,1.382085109
ENSG00000004534,1.091429248
ENSG00000004700,4.374639661
NA.5,NA
ENSG00000004777,2.727890553
ENSG00000004779,-1.042001487
NA.6,NA
ENSG00000004864,-1.021810569
NA.7,NA
ENSG00000004961,0.777688869
ENSG00000005001,3.720987983
ENSG00000005007,1.083700922
ENSG00000005020,-1.065388701
ENSG00000005022,-1.6525137
NA.8,NA
ENSG00000005075,-0.69088255
ENSG00000005238,2.008840458
ENSG00000005243,-1.649480942
ENSG00000005339,2.401390604
ENSG00000005469,-3.243042961
ENSG00000005483,1.63557953
ENSG00000005513,5.532419574
ENSG00000005812,0.965502554
ENSG00000005889,2.048505314
ENSG00000005893,-0.503143888
NA.9,NA
ENSG00000006007,-1.356182571
NA.10,NA
NA.11,NA
NA.12,NA
ENSG00000006062,1.277718202
ENSG00000006118,1.077092992
ENSG00000006125,0.801546051
ENSG00000006128,7.516544691
ENSG00000006194,1.609916564
NA.13,NA
ENSG00000006327,2.075129399
ENSG00000006432,1.471829184
ENSG00000006451,-0.955867067
ENSG00000006453,1.162822306
NA.14,NA
ENSG00000006555,-2.702082893
NA.15,NA
ENSG00000006625,-1.313358441
ENSG00000006652,2.744368552
ENSG00000006712,0.497605547
NA.16,NA
ENSG00000006744,-1.442123482
NA.17,NA
ENSG00000007080,-1.197406015
ENSG00000007168,0.434901536
ENSG00000007202,-0.995600928
ENSG00000007384,2.822982093
ENSG00000007392,1.402968623
ENSG00000007520,-2.276194971
ENSG00000007545,1.650040691
ENSG00000007866,0.730078986
ENSG00000007944,1.913976085
NA.18,NA
ENSG00000008128,2.228877426
ENSG00000008256,1.037923895
ENSG00000008282,-1.538427128
ENSG00000008283,-1.300679573
ENSG00000008294,1.957794376
ENSG00000008300,5.004469907
ENSG00000008311,3.261464865
ENSG00000008324,1.170140531
ENSG00000008382,-1.746060826
ENSG00000008394,-2.165624764
ENSG00000008405,6.362356091
ENSG00000008441,-2.195916324
ENSG00000008516,8.41193913
ENSG00000008517,6.7685988
ENSG00000008735,1.105365761
ENSG00000008838,1.077074921
NA.19,NA
ENSG00000009954,0.633432606
NA.20,NA
ENSG00000010244,2.572796058
ENSG00000010256,-0.748452789
ENSG00000010278,-1.483861423
NA.21,NA
ENSG00000010310,1.641156338
ENSG00000010322,1.758950878
ENSG00000010379,2.80703751
ENSG00000010438,-1.526438231
NA.22,NA
ENSG00000010810,1.388074069
ENSG00000010818,1.030436497
ENSG00000011009,-0.61528161
ENSG00000011021,1.905750771
ENSG00000011132,2.179958452
NA.23,NA
ENSG00000011243,1.596760024
ENSG00000011260,-0.955072749
ENSG00000011275,1.852403081
ENSG00000011304,1.240963652
ENSG00000011426,-1.184548326
ENSG00000011566,1.451613094
ENSG00000011638,-1.695175457
ENSG00000012061,1.622175605
ENSG00000012211,-1.434714035
NA.24,NA
ENSG00000012660,1.573662
ENSG00000012817,2.716618401
ENSG00000012822,0.768217373
ENSG00000013275,1.18399186
NA.25,NA
ENSG00000013306,-0.52140392
ENSG00000013364,-1.276233813
ENSG00000013441,3.781010005
ENSG00000013503,-1.599290716
ENSG00000013563,-1.572524868
ENSG00000013583,-2.250322337
ENSG00000013588,1.845603286
NA.26,NA
ENSG00000013810,1.312375308
ENSG00000014123,-0.740797216
ENSG00000014216,-1.157488843
NA.27,NA
ENSG00000014641,-1.839835763
ENSG00000014824,-1.328917965
ENSG00000014914,0.890852897
ENSG00000014919,-1.041278252
NA.28,NA
ENSG00000015479,5.881676511
NA.29,NA
NA.30,NA
ENSG00000016402,-2.753069862
ENSG00000017483,-1.146775875
ENSG00000017797,-2.091635714
ENSG00000018236,-2.143356075
ENSG00000018510,-1.547406165
ENSG00000019144,2.13875335
ENSG00000019549,-0.705982233
ENSG00000019995,0.688879331
ENSG00000020129,0.656817001
ENSG00000020577,1.320121181
ENSG00000021355,1.433121712
NA.31,NA
ENSG00000022840,1.584089734
ENSG00000023191,-1.789093895
ENSG00000023287,1.143143742
ENSG00000023330,1.654941742
ENSG00000023445,1.804961
ENSG00000023697,-1.722014449
ENSG00000023892,-1.125180704
ENSG00000023902,2.83419894
ENSG00000023909,1.517567134
ENSG00000024048,1.369067335
ENSG00000024422,-1.510148395
ENSG00000025156,1.758546312
NA.32,NA
ENSG00000025770,1.076233528
ENSG00000025772,1.654830257
ENSG00000026025,2.310646985
ENSG00000026508,-1.594161331
ENSG00000026652,3.11040973
ENSG00000026751,0.720293381
ENSG00000026950,2.163839489
ENSG00000027001,-2.088686885
ENSG00000027697,-1.389740364
ENSG00000028277,2.487907711
ENSG00000028839,1.296812497
ENSG00000029363,1.019750521
ENSG00000029364,1.211017715
ENSG00000029725,0.907137191
ENSG00000030110,-1.057730082
ENSG00000030582,-1.40517681
ENSG00000031003,1.143096104
ENSG00000032219,0.879341884
ENSG00000033011,-2.38742843
ENSG00000033030,1.620069702
ENSG00000033050,-0.728195988
ENSG00000033100,0.903965098
ENSG00000033178,1.45083441
ENSG00000033627,0.868346073
NA.33,NA
ENSG00000034152,0.690360087
ENSG00000034510,-1.710429106
ENSG00000034693,-2.676652501
ENSG00000034713,0.941865648
ENSG00000035141,-1.549841398
ENSG00000035687,-1.838233938
ENSG00000036257,1.25413511
ENSG00000037042,1.044206164
ENSG00000037757,-1.700063825
ENSG00000038219,0.886002471
NA.34,NA
ENSG00000038358,2.100651867
ENSG00000038382,1.444897923
ENSG00000039068,-1.330944106
ENSG00000039523,3.774767058
ENSG00000039650,1.161832839
ENSG00000040199,2.689404939
ENSG00000041353,-2.084735347
NA.35,NA
ENSG00000041802,0.878578688
ENSG00000041988,1.485110556
ENSG00000042429,1.12581502
ENSG00000042445,-1.484473022
ENSG00000042493,-1.882737529
ENSG00000042753,-2.666235607
NA.36,NA
NA.37,NA
ENSG00000044446,1.642116334
NA.38,NA
ENSG00000044574,0.376696386
ENSG00000046604,0.473460306
ENSG00000046651,1.879771483
NA.39,NA
ENSG00000047056,2.583124095
ENSG00000047315,1.246700105
ENSG00000047346,2.128073727
ENSG00000047365,0.835945126
NA.40,NA
ENSG00000047849,-1.229290188
ENSG00000047932,-1.107579261
ENSG00000048052,3.103664787
ENSG00000048140,0.644268499
ENSG00000048162,1.597142266
ENSG00000048405,1.157271463
ENSG00000048544,-0.732539284
ENSG00000048649,1.383565964
ENSG00000048828,-0.889146746
ENSG00000049245,-1.048367275
ENSG00000049246,2.839914803
ENSG00000049541,-1.184893039
ENSG00000049656,0.640564138
ENSG00000049759,4.153518812
NA.41,NA
ENSG00000050130,-1.316389327
ENSG00000050165,-1.571973142
ENSG00000050327,1.657190226
ENSG00000050393,-1.339012644
ENSG00000050405,-1.533994166
NA.42,NA
ENSG00000050820,1.59055492
ENSG00000051009,1.319359848
ENSG00000051108,1.024707403
ENSG00000051128,1.101083426
ENSG00000051382,-1.351451956
ENSG00000051596,-2.270226223
ENSG00000051620,-0.785232779
ENSG00000052344,0.629665018
ENSG00000052723,-1.143607548
ENSG00000052749,0.992858264
ENSG00000052802,-0.470217889
ENSG00000052841,1.420414447
ENSG00000053108,1.687657178
ENSG00000053254,-1.978578686
ENSG00000053371,-1.975076105
ENSG00000054116,-0.893295517
ENSG00000054118,0.485264836
ENSG00000054148,-1.189373971
NA.43,NA
ENSG00000054267,2.20635198
ENSG00000054277,-1.970474774
NA.44,NA
ENSG00000054598,-0.946430121
ENSG00000054967,5.069794408
ENSG00000055044,0.992566926
ENSG00000055208,1.166907764
ENSG00000055483,1.900770076
ENSG00000055609,2.913406833
ENSG00000055732,3.63892812
ENSG00000055917,1.495653241
ENSG00000055950,-1.572016647
NA.45,NA
ENSG00000056050,-2.201971781
ENSG00000056097,0.824278091
ENSG00000056586,1.284773578
ENSG00000057019,0.633110537
ENSG00000057149,-1.387011288
ENSG00000057608,-1.302550549
ENSG00000057704,-1.167668066
NA.46,NA
ENSG00000058272,0.954005118
NA.47,NA
ENSG00000058668,-0.831566824
ENSG00000058799,-1.413275368
ENSG00000058804,-1.749555469
NA.48,NA
ENSG00000059378,0.913678241
ENSG00000059573,-1.227139926
ENSG00000059588,-1.83032163
ENSG00000059728,2.550395767
ENSG00000059758,1.572686671
NA.49,NA
ENSG00000060140,2.054558846
ENSG00000060339,1.029066781
ENSG00000060491,1.377033236
ENSG00000060558,-1.269464652
NA.50,NA
ENSG00000060982,4.172515794
ENSG00000061794,-1.735493222
ENSG00000061936,1.924989926
ENSG00000062038,-1.289570435
NA.51,NA
ENSG00000062194,1.623958275
ENSG00000062282,-1.642155927
ENSG00000062370,1.261145784
ENSG00000062485,-0.728704808
ENSG00000062582,-1.444721841
ENSG00000062716,1.316760899
NA.52,NA
ENSG00000063169,1.489715025
ENSG00000063177,-0.648606097
ENSG00000063244,1.093335523
ENSG00000063322,0.895774853
ENSG00000063660,-1.080618431
ENSG00000064102,-1.118006036
ENSG00000064115,-2.415796957
ENSG00000064195,-1.054869768
ENSG00000064300,6.446572398
ENSG00000064313,1.045603926
ENSG00000064393,0.919979109
ENSG00000064419,0.539243681
ENSG00000064490,-1.084240913
ENSG00000064547,1.760857529
ENSG00000064601,1.101724219
ENSG00000064607,1.789252589
ENSG00000064652,-1.317447257
ENSG00000064666,-1.241500953
NA.53,NA
NA.54,NA
ENSG00000064932,1.424061586
ENSG00000065000,0.937528759
ENSG00000065029,1.560049719
ENSG00000065060,0.960111744
ENSG00000065154,-0.664733259
ENSG00000065183,-1.312831715
NA.55,NA
ENSG00000065357,-0.795535898
ENSG00000065361,-0.895269375
NA.56,NA
ENSG00000065427,-1.158678319
ENSG00000065491,1.909570717
ENSG00000065518,-0.855822403
ENSG00000065526,0.893565326
NA.57,NA
ENSG00000065548,1.710021115
ENSG00000065559,0.661022494
ENSG00000065600,-1.398210226
NA.58,NA
ENSG00000065618,-0.488357478
NA.59,NA
ENSG00000065802,1.638092889
ENSG00000065809,2.110777144
ENSG00000065833,-1.195404758
ENSG00000065978,-0.624280485
NA.60,NA
ENSG00000066084,0.977932395
ENSG00000066117,1.379687894
ENSG00000066136,1.076644497
NA.61,NA
ENSG00000066248,2.112371908
ENSG00000066322,-0.656057907
NA.62,NA
ENSG00000066422,1.225729305
ENSG00000066455,-1.010627688
ENSG00000066583,-2.025148205
ENSG00000066654,-0.872623959
ENSG00000066697,0.801053904
ENSG00000066735,3.673709467
ENSG00000067048,3.362239379
ENSG00000067057,0.458232338
ENSG00000067064,0.800113136
ENSG00000067082,0.333601862
ENSG00000067167,-0.814066991
ENSG00000067182,-1.173659751
ENSG00000067225,-1.684278496
ENSG00000067365,1.874449529
ENSG00000067369,2.32501514
NA.63,NA
ENSG00000067560,-1.183506424
ENSG00000067596,0.71985177
ENSG00000067704,-1.72527369
NA.64,NA
ENSG00000067798,2.033924292
NA.65,NA
NA.66,NA
NA.67,NA
ENSG00000068078,-1.300786748
NA.68,NA
ENSG00000068305,0.753424285
ENSG00000068308,1.137577416
ENSG00000068323,2.018280161
ENSG00000068366,1.375132319
ENSG00000068383,2.606573363
ENSG00000068400,1.27154025
ENSG00000068438,-0.735882031
ENSG00000068489,-1.246438332
ENSG00000068697,-1.237045512
ENSG00000068745,2.715844801
ENSG00000068784,-1.722239584
NA.69,NA
ENSG00000068878,1.776764761
ENSG00000068912,-1.508550805
ENSG00000068976,4.11479862
ENSG00000069275,-1.134257268
ENSG00000069329,-0.961147908
ENSG00000069345,0.604694078
ENSG00000069399,1.874280169
ENSG00000069431,4.441717359
NA.70,NA
NA.71,NA
NA.72,NA
NA.73,NA
ENSG00000069812,-2.470538192
ENSG00000069849,-1.439842004
ENSG00000069869,1.148576237
ENSG00000070010,1.241757059
ENSG00000070018,1.81054563
ENSG00000070087,-1.994100984
ENSG00000070190,0.770510713
ENSG00000070214,-1.895459587
ENSG00000070404,0.537410879
ENSG00000070413,-1.104174031
ENSG00000070495,2.795229451
ENSG00000070501,-1.429024872
ENSG00000070540,-1.370275364
NA.74,NA
ENSG00000070610,1.3184389
ENSG00000070614,-0.796157586
ENSG00000070669,8.670623486
ENSG00000070718,-1.611837414
ENSG00000070731,-1.346618758
ENSG00000070756,-0.257247544
ENSG00000070761,0.840186405
ENSG00000070770,1.74967317
ENSG00000070778,1.391613017
ENSG00000070785,-1.65014328
ENSG00000071051,-1.152173169
ENSG00000071054,0.616366353
ENSG00000071082,-1.331187728
ENSG00000071243,2.35508677
ENSG00000071462,1.903176319
ENSG00000071553,-0.706528431
NA.75,NA
ENSG00000071967,-2.814440457
ENSG00000071994,-1.080625484
ENSG00000072042,-0.755731318
ENSG00000072110,-0.659124941
ENSG00000072121,1.20646619
NA.76,NA
ENSG00000072210,-1.753023143
ENSG00000072364,2.170370133
ENSG00000072506,-1.16027503
ENSG00000072518,0.876468275
ENSG00000072682,1.044221122
ENSG00000072778,1.66119888
ENSG00000072786,2.608704727
NA.77,NA
NA.78,NA
ENSG00000073008,1.371112112
ENSG00000073146,3.537468503
ENSG00000073282,-1.846745239
ENSG00000073605,1.422210519
ENSG00000073614,1.477934716
NA.79,NA
ENSG00000073712,1.355140774
ENSG00000073737,0.730414117
ENSG00000073756,1.539040223
ENSG00000073792,1.895778659
ENSG00000073803,1.438707285
NA.80,NA
NA.81,NA
ENSG00000073969,-1.205363651
ENSG00000074071,-2.09762456
ENSG00000074181,-0.941761983
ENSG00000074201,-1.945212433
NA.82,NA
NA.83,NA
ENSG00000074410,-2.886294294
NA.84,NA
ENSG00000074657,1.471426423
NA.85,NA
ENSG00000074755,1.416716502
ENSG00000074800,-1.445070883
ENSG00000074855,1.795191723
